CUSIP,Ticker,Company,Shares,Delta_Shares,Value,Delta_Value,Delta,Portfolio%
037833100,AAPL,Apple Inc.,10523757,2317440,2.64B,580.33M,+28.2%,7.9%
023135106,AMZN,Amazon.com Inc,6898684,1000032,1.51B,219.4M,+17%,4.5%
594918104,MSFT,Microsoft Corp.,4843162,454704,2.04B,191.66M,+10.4%,6.1%
67066G104,NVDA,Nvidia Corp. (US),16330331,1046402,2.19B,140.52M,+6.8%,6.6%
09290D101,BLK,Blackrock Inc,101755,101755,104.31M,104.31M,NEW,0.31%
949746101,WFC,Wells Fargo Co. (US),2650366,1196522,186.16M,84.04M,+82.3%,0.56%
88160R101,TSLA,Tesla Inc (US),1801485,205349,727.51M,82.93M,+12.9%,2.2%
617446448,MS,Morgan Stanley,1075133,550761,135.17M,69.24M,+105%,0.4%
512807306,LRCX,Lam Research Corp,940156,940156,67.91M,67.91M,NEW,0.2%
040413205,ANET,Arista Networks Inc (US),598140,598140,66.11M,66.11M,NEW,0.2%
697435105,PANW,Palo Alto Networks Inc,657638,362226,119.66M,65.91M,+122.6%,0.36%
30303M102,META,Meta Platforms Inc,1457795,97333,853.55M,56.99M,+7.2%,2.6%
46120E602,ISRG,Intuitive Surgical Inc.,290649,101744,151.71M,53.11M,+53.9%,0.45%
166764100,CVX,Chevron Corp.,1248506,355011,180.83M,51.42M,+39.7%,0.54%
78409V104,SPGI,S&P Global Inc,284926,102432,141.9M,51.01M,+56.1%,0.42%
38141G104,GS,Goldman Sachs Group Inc/The,212382,74718,121.61M,42.79M,+54.3%,0.36%
038222105,AMAT,Applied Materials Inc.,912825,262202,148.45M,42.64M,+40.3%,0.44%
91324P102,UNH,UnitedHealth Group Inc.,759033,82054,383.96M,41.51M,+12.1%,1.1%
437076102,HD,Home Depot Inc/The,671060,106516,261.04M,41.43M,+18.9%,0.78%
29444U700,EQIX,Equinix Inc (US),94003,40527,88.63M,38.21M,+75.8%,0.27%
02079K107,GOOG,Alphabet Inc C,2708625,198662,515.83M,37.83M,+7.9%,1.5%
11135F101,AVGO,Broadcom Inc,2764024,139667,640.81M,32.38M,+5.3%,1.9%
254687106,DIS,Walt Disney Co/The,1033114,260278,115.04M,28.98M,+33.7%,0.34%
110122108,BMY,Bristol-Myers Squibb Co. (US),1540752,494973,87.14M,28M,+47.3%,0.26%
92343V104,VZ,Verizon Communications Inc. (US),2915420,697415,116.59M,27.89M,+31.4%,0.35%
375558103,GILD,Gilead Sciences Inc.,805616,286297,74.41M,26.45M,+55.1%,0.22%
22788C105,CRWD,Crowdstrike Holdings Inc,256264,71480,87.68M,24.46M,+38.7%,0.26%
20030N101,CMCSA,Comcast Corp. A,2473772,635452,92.84M,23.85M,+34.6%,0.28%
09857L108,BKNG,Booking Holdings Inc,18438,4763,91.61M,23.66M,+34.8%,0.27%
G1151C101,ACN,Accenture Plc A (USD),397972,67107,140M,23.61M,+20.3%,0.42%
808513105,SCHW,Charles Schwab Corp/The,984891,317432,72.89M,23.49M,+47.6%,0.22%
060505104,BAC,Bank of America Corp.,3768297,518518,165.62M,22.79M,+16%,0.5%
863667101,SYK,Stryker Corp.,199885,60138,71.97M,21.65M,+43%,0.22%
92826C839,V,Visa Inc Class A,1390659,68492,439.5M,21.65M,+5.2%,1.3%
57636Q104,MA,Mastercard Inc-Class A,510839,39911,268.99M,21.02M,+8.5%,0.8%
30231G102,XOM,Exxon Mobil Corp.,233699,192910,25.14M,20.75M,+472.9%,0.08%
90353T100,UBER,Uber Technologies Inc,1204422,328384,72.65M,19.81M,+37.5%,0.22%
L8681T102,SPOT,Spotify Technology SA,42060,42060,18.82M,18.82M,NEW,0.06%
95040Q104,WELL,Welltower OP Inc,424472,147562,53.5M,18.6M,+53.3%,0.16%
824348106,SHW,Sherwin-Williams Co/The,179365,53660,60.97M,18.24M,+42.7%,0.18%
281020107,EIX,Edison International,542173,226231,43.29M,18.06M,+71.6%,0.13%
458140100,INTC,Intel Corp.,2784989,897469,55.84M,17.99M,+47.5%,0.17%
747525103,QCOM,QUALCOMM Inc. (US),889434,116397,136.63M,17.88M,+15.1%,0.41%
22160K105,COST,Costco Wholesale Corp.,261347,19269,239.46M,17.66M,+8%,0.72%
459200101,IBM,International Business Machines Corp,526031,80021,115.64M,17.59M,+17.9%,0.35%
478160104,JNJ,Johnson & Johnson,1621615,116048,234.52M,16.78M,+7.7%,0.7%
871607107,SNPS,Synopsys Inc.,103681,32853,50.32M,15.95M,+46.4%,0.15%
369604301,GE,General Electric Co,573161,95402,95.6M,15.91M,+20%,0.29%
