CUSIP,Ticker,Company,Shares,Delta_Shares,Value,Delta_Value,Delta,Portfolio%
46090E103,QQQ,INVESCO QQQ TR,176193,176191,105.78M,105.78M,+8809550%,2.7%
594972408,MSTR,STRATEGY INC,300454,300451,96.81M,96.81M,+10015033.3%,2.4%
30303M102,META,META PLATFORMS INC,122072,122071,89.65M,89.65M,+12207100%,2.2%
02079K305,GOOGL,ALPHABET INC,317531,317531,77.19M,77.19M,NEW,1.9%
92189F676,SMH,VANECK ETF TRUST,222741,222741,72.69M,72.69M,NEW,1.8%
11135F101,AVGO,BROADCOM INC,446009,202734,147.14M,66.88M,+83.3%,3.7%
023135106,AMZN,AMAZON COM INC,266116,266113,58.43M,58.43M,+8870433.3%,1.5%
037833100,AAPL,APPLE INC,139200,139200,35.44M,35.44M,NEW,0.89%
26603R106,DUOL,DUOLINGO INC,104573,103648,33.66M,33.36M,+11205.2%,0.84%
64110L106,NFLX,NETFLIX INC,27146,27146,32.55M,32.55M,NEW,0.82%
042068205,ARM,ARM HOLDINGS PLC,217068,217068,30.71M,30.71M,NEW,0.77%
09175A206,BMNR,BITMINE IMMERSION TECNOLOGIE,572869,572869,29.75M,29.75M,NEW,0.75%
46625H100,JPM,JPMORGAN CHASE &amp; CO.,104857,89598,33.08M,28.26M,+587.2%,0.83%
26142V105,DKNG,DRAFTKINGS INC NEW,706374,706374,26.42M,26.42M,NEW,0.66%
172967424,C,CITIGROUP INC,393095,222413,39.9M,22.57M,+130.3%,1%
594918104,MSFT,MICROSOFT CORP,43486,43483,22.52M,22.52M,+1449433.3%,0.56%
35671D857,FCX,FREEPORT-MCMORAN INC,549869,549869,21.57M,21.57M,NEW,0.54%
00724F101,ADBE,ADOBE INC,121750,61049,42.95M,21.54M,+100.6%,1.1%
573874104,MRVL,MARVELL TECHNOLOGY INC,415125,251493,34.9M,21.14M,+153.7%,0.87%
91324P102,UNH,UNITEDHEALTH GROUP INC,79435,60651,27.43M,20.94M,+322.9%,0.69%
15101Q207,CLS,CELESTICA INC,83389,83389,20.55M,20.55M,NEW,0.51%
443201108,HWM,HOWMET AEROSPACE INC,97139,97139,19.06M,19.06M,NEW,0.48%
80004C200,SNDK,SANDISK CORP,214948,166410,24.12M,18.67M,+342.8%,0.6%
55024U109,LITE,LUMENTUM HLDGS INC,159993,111231,26.03M,18.1M,+228.1%,0.65%
83406F102,SOFI,SOFI TECHNOLOGIES INC,611751,611751,16.16M,16.16M,NEW,0.41%
874039100,TSM,TAIWAN SEMICONDUCTOR MFG LTD,56088,56082,15.66M,15.66M,+934700%,0.39%
097023105,BA,BOEING CO,67837,67837,14.64M,14.64M,NEW,0.37%
525327102,LDOS,LEIDOS HOLDINGS INC,100608,69082,19.01M,13.05M,+219.1%,0.48%
G63221124,MBVIU,M3-BRIGADE ACQUISITION VI CO,1250000,1250000,12.65M,12.65M,NEW,0.32%
09581B103,OWL,BLUE OWL CAPITAL INC,739669,739669,12.52M,12.52M,NEW,0.31%
24703L202,DELL,DELL TECHNOLOGIES INC,87366,87366,12.39M,12.39M,NEW,0.31%
458140100,INTC,INTEL CORP,585520,359913,19.64M,12.08M,+159.5%,0.49%
94419L101,W,WAYFAIR INC,135027,135027,12.06M,12.06M,NEW,0.3%
