CUSIP,Ticker,Company,Shares,Delta_Shares,Value,Delta_Value,Delta,Portfolio%
58733R102,MELI,MERCADOLIBRE INC,12433,7285,25.13M,14.72M,+141.5%,33.1%
78409V104,SPGI,S&P GLOBAL INC,0,-48,0,-23.36K,CLOSE,0%
256746108,DLTR,DOLLAR TREE INC,0,-626,0,-59.08K,CLOSE,0%
833445109,SNOW,SNOWFLAKE INC,0,-851,0,-191.94K,CLOSE,0%
256677105,DG,DOLLAR GEN CORP NEW,0,-5156,0,-532.87K,CLOSE,0%
12008R107,BLDR,BUILDERS FIRSTSOURCE INC,0,-6541,0,-793.1K,CLOSE,0%
81762P102,NOW,SERVICENOW INC,0,-977,0,-899.11K,CLOSE,0%
874054109,TTWO,TAKE-TWO INTERACTIVE SOFTWAR,0,-4887,0,-1.26M,CLOSE,0%
146869102,CVNA,CARVANA CO,0,-3491,0,-1.32M,CLOSE,0%
375916103,GIL,GILDAN ACTIVEWEAR INC,0,-22806,0,-1.32M,CLOSE,0%
01609W102,BABA,ALIBABA GROUP HLDG LTD,0,-8182,0,-1.46M,CLOSE,0%
64110L106,NFLX,NETFLIX INC,0,-1252,0,-1.5M,CLOSE,0%
92826C839,V,VISA INC,0,-4575,0,-1.56M,CLOSE,0%
33829M101,FIVE,FIVE BELOW INC,0,-11254,0,-1.74M,CLOSE,0%
H5919C104,ONON,ON HLDG AG,0,-41824,0,-1.77M,CLOSE,0%
57636Q104,MA,MASTERCARD INCORPORATED,0,-3542,0,-2.01M,CLOSE,0%
74967X103,RH,RH,0,-11018,0,-2.24M,CLOSE,0%
30303M102,META,META PLATFORMS INC,0,-3050,0,-2.24M,CLOSE,0%
855244109,SBUX,STARBUCKS CORP,0,-28985,0,-2.45M,CLOSE,0%
67066G104,NVDA,NVIDIA CORPORATION,0,-13606,0,-2.54M,CLOSE,0%
824348106,SHW,SHERWIN WILLIAMS CO,0,-7699,0,-2.67M,CLOSE,0%
G6683N103,NU,NU HLDGS LTD,3008189,-157997,50.78M,-2.67M,-5%,66.9%
67103H107,ORLY,OREILLY AUTOMOTIVE INC,0,-29118,0,-3.14M,CLOSE,0%
L8681T102,SPOT,SPOTIFY TECHNOLOGY S A,0,-5293,0,-3.69M,CLOSE,0%
02079K305,GOOGL,ALPHABET INC,0,-15832,0,-3.85M,CLOSE,0%
N3167Y103,RACE,FERRARI N V,0,-10307,0,-5M,CLOSE,0%
68389X105,ORCL,ORACLE CORP,0,-19230,0,-5.41M,CLOSE,0%
81141R100,SE,SEA LTD,0,-31061,0,-5.55M,CLOSE,0%
874039100,TSM,TAIWAN SEMICONDUCTOR MFG LTD,0,-22336,0,-6.24M,CLOSE,0%
594918104,MSFT,MICROSOFT CORP,0,-12800,0,-6.63M,CLOSE,0%
023135106,AMZN,AMAZON COM INC,0,-35635,0,-7.82M,CLOSE,0%
Total,,,,,75.9M,-63.86M,-46.1%,100%
