CUSIP,Ticker,Company,Shares,Delta_Shares,Value,Delta_Value,Delta,Portfolio%
09174C104,BITB,BITWISE BITCOIN ETF TR,173163,173163,8.24M,8.24M,NEW,0.8%
90138L109,XXI,TWENTY ONE CAP INC,400000,400000,3.5M,3.5M,NEW,0.34%
42328V876,HSDT,SOLANA CO,290655,290655,839.99K,839.99K,NEW,0.08%
09175A206,BMNR,BITMINE IMMERSION TECNOLOGIE,29105,29105,790.2K,790.2K,NEW,0.08%
315948109,FBTC,FIDELITY WISE ORIGIN BITCOIN,58618,0,4.47M,0,NO CHANGE,0.43%
94132V105,WDH,WATERDROP INC,859202,0,1.63M,0,NO CHANGE,0.16%
38141G104,GS,GOLDMAN SACHS GROUP INC,50,0,43.95K,0,NO CHANGE,<.01%
30303M102,META,META PLATFORMS INC,50,0,33.01K,0,NO CHANGE,<.01%
02079K107,GOOG,ALPHABET INC,100,0,31.38K,0,NO CHANGE,<.01%
037833100,AAPL,APPLE INC,100,0,27.19K,0,NO CHANGE,<.01%
67066G104,NVDA,NVIDIA CORPORATION,6,0,1.12K,0,NO CHANGE,<.01%
33733E203,FBT,FIRST TR EXCHANGE-TRADED FD,1,0,207,0,NO CHANGE,<.01%
36118L106,FUTU,FUTU HLDGS LTD,1,0,164,0,NO CHANGE,<.01%
722304102,PDD,PDD HOLDINGS INC,1,0,113,0,NO CHANGE,<.01%
458140100,INTC,INTEL CORP,2,0,74,0,NO CHANGE,<.01%
74347W338,VIXM,PROSHARES TR II,1,0,15,0,NO CHANGE,<.01%
912318409,UNG,UNITED STS NAT GAS FD LP,1,0,12,0,NO CHANGE,<.01%
09255R202,DSU,BLACKROCK DEBT STRATEGIES FD,1,0,10,0,NO CHANGE,<.01%
25154H756,DZZ,DEUTSCHE BK AG LONDON BRH,1,0,4,0,NO CHANGE,<.01%
00768Y495,YOLO,ADVISORSHARES TR,1,0,3,0,NO CHANGE,<.01%
46267X108,IQ,IQIYI INC,1,0,2,0,NO CHANGE,<.01%
191216100,KO,COCA COLA CO,0,-1,0,-66,CLOSE,0%
15101Q207,CLS,CELESTICA INC,0,-1168,0,-287.77K,CLOSE,0%
46438F101,IBIT,ISHARES BITCOIN TRUST ETF,18287323,-9784,907.97M,-485.78K,-0.1%,88.3%
46438R105,ETHA,ISHARES ETHEREUM TR,59464,-50000,1.33M,-1.12M,-45.7%,0.13%
91531W106,TIGR,UP FINTECH HLDG LTD,10346087,-321493,98.91M,-3.07M,-3%,9.6%
Total,,,,,1.03B,8.4M,+0.6%,100%
