CUSIP,Ticker,Company,Shares,Delta_Shares,Value,Delta_Value,Delta,Portfolio%
68389X105,ORCL,ORACLE CORP,22674,22674,4.42M,4.42M,NEW,5.9%
64110L106,NFLX,NETFLIX INC,45242,45242,4.24M,4.24M,NEW,5.7%
037833100,AAPL,APPLE INC,14844,14844,4.04M,4.04M,NEW,5.4%
594918104,MSFT,MICROSOFT CORP,8338,6489,4.03M,3.14M,+350.9%,5.4%
532457108,LLY,ELI LILLY & CO,4031,2264,4.33M,2.43M,+128.1%,5.8%
023135106,AMZN,AMAZON COM INC,16337,8738,3.77M,2.02M,+115%,5.1%
46625H100,JPM,JPMORGAN CHASE & CO.,0,-18,0,-5.68K,CLOSE,0%
922908553,VNQ,VANGUARD INDEX FDS,0,-667,0,-60.98K,CLOSE,0%
464287739,IYR,ISHARES TR,0,-6399,0,-621.22K,CLOSE,0%
46434G103,IEMG,ISHARES INC,0,-18776,0,-1.24M,CLOSE,0%
03945R102,ACHR,ARCHER AVIATION INC,129287,-183995,972.24K,-1.38M,-58.7%,1.3%
747525103,QCOM,QUALCOMM INC,0,-10828,0,-1.8M,CLOSE,0%
36467W109,GME,GAMESTOP CORP NEW,151016,-178153,3.03M,-3.58M,-54.1%,4.1%
770700102,HOOD,ROBINHOOD MKTS INC,32488,-81508,3.67M,-9.22M,-71.5%,4.9%
19260Q107,COIN,COINBASE GLOBAL INC,14918,-41040,3.37M,-9.28M,-73.3%,4.5%
01609W102,BABA,ALIBABA GROUP HLDG LTD,19995,-67277,2.93M,-9.86M,-77.1%,3.9%
670100205,NVO,NOVO-NORDISK A S,67544,-211470,3.44M,-10.76M,-75.8%,4.6%
30303M102,META,META PLATFORMS INC,5974,-19545,3.94M,-12.9M,-76.6%,5.3%
91324P102,UNH,UNITEDHEALTH GROUP INC,12395,-44368,4.09M,-14.65M,-78.2%,5.5%
69608A108,PLTR,PALANTIR TECHNOLOGIES INC,22518,-88400,4M,-15.71M,-79.7%,5.4%
67066G104,NVDA,NVIDIA CORPORATION,24981,-85993,4.66M,-16.04M,-77.5%,6.3%
594972408,MSTR,STRATEGY INC,7468,-108015,1.13M,-16.41M,-93.5%,1.5%
88160R101,TSLA,TESLA INC,8639,-36717,3.89M,-16.51M,-81%,5.2%
02079K305,GOOGL,ALPHABET INC,13679,-56158,4.28M,-17.58M,-80.4%,5.8%
433000106,HIMS,HIMS & HERS HEALTH INC,0,-318666,0,-18.07M,CLOSE,0%
11135F101,AVGO,BROADCOM INC,2836,-54104,981.54K,-18.73M,-95%,1.3%
86800U302,SMCI,SUPER MICRO COMPUTER INC,0,-430540,0,-20.64M,CLOSE,0%
007903107,AMD,ADVANCED MICRO DEVICES INC,21178,-104553,4.54M,-22.39M,-83.2%,6.1%
595112103,MU,MICRON TECHNOLOGY INC,2132,-83957,608.49K,-23.96M,-97.5%,0.82%
464287184,FXI,ISHARES TR,0,-655935,0,-26.99M,CLOSE,0%
Total,,,,,74.38M,-268.1M,-74.7%,100%
