CUSIP,Ticker,Company,Shares,Delta_Shares,Value,Delta_Value,Delta,Portfolio%
64110L106,NFLX,Netflix Inc,15980,13582,1.5M,1.27M,+566.4%,1.4%
113004105,BAM,Brookfield Asset Mgmt Ltd Cl A,12260,12260,642.3K,642.3K,NEW,0.6%
81762P102,NOW,ServiceNow Inc,5000,4000,765.95K,612.76K,+400%,0.72%
630402105,NSSC,Napco Security Tech Inc,10000,10000,417K,417K,NEW,0.39%
866796105,SLF,Sun Life Finl Inc,5710,5710,356.3K,356.3K,NEW,0.34%
904767803,UL,Unilever PLC Sp ADR,5297,5297,346.42K,346.42K,NEW,0.33%
00846U101,A,Agilent Technologies,2500,2500,340.18K,340.18K,NEW,0.32%
775109200,RCI,Rogers Comm Inc Cl B (CAD),7990,7990,301.46K,301.46K,NEW,0.28%
92532F100,VRTX,Vertex Pharma Inc,500,500,226.68K,226.68K,NEW,0.21%
98585X104,YETI,YETI Hldgs Inc,5000,5000,220.85K,220.85K,NEW,0.21%
109641100,EAT,Brinker Intl,1500,1500,215.28K,215.28K,NEW,0.2%
983793100,XPO,XPO Inc,1500,1500,203.87K,203.87K,NEW,0.19%
G16258108,BEP,Brookfield Renewable Ptnrs LP,7500,7500,202.28K,202.28K,NEW,0.19%
03209R103,AMPH,Amphastar Pharma Inc,7500,7500,200.85K,200.85K,NEW,0.19%
11271J107,BN,Brookfield Corp,13045,1795,598.63K,82.37K,+16%,0.56%
443201108,HWM,Howmet Aerospace Inc,14000,0,2.87M,0,NO CHANGE,2.7%
697435105,PANW,Palo Alto Networks Inc,10800,0,1.99M,0,NO CHANGE,1.9%
69608A108,PLTR,Palantir Technologies Inc Cl A,10000,0,1.78M,0,NO CHANGE,1.7%
46120E602,ISRG,Intuitive Surgical Inc,3050,0,1.73M,0,NO CHANGE,1.6%
931142103,WMT,Walmart Inc,13500,0,1.5M,0,NO CHANGE,1.4%
11135F101,AVGO,Broadcom Inc,4000,0,1.38M,0,NO CHANGE,1.3%
88160R101,TSLA,Tesla Inc,3000,0,1.35M,0,NO CHANGE,1.3%
594918104,MSFT,Microsoft Corp,2500,0,1.21M,0,NO CHANGE,1.1%
147528103,CASY,Casey's General Stores Inc,2092,0,1.16M,0,NO CHANGE,1.1%
231561101,CW,Curtiss-Wright Corp,2000,0,1.1M,0,NO CHANGE,1%
007903107,AMD,Advanced Micro Devices,5000,0,1.07M,0,NO CHANGE,1%
G8994E103,TT,Trane Technologies PLC,2700,0,1.05M,0,NO CHANGE,0.99%
00287Y109,ABBV,AbbVie Inc,4367,0,997.82K,0,NO CHANGE,0.94%
023135106,AMZN,Amazon.com Inc,4000,0,923.28K,0,NO CHANGE,0.87%
466313103,JBL,Jabil Inc,4000,0,912.08K,0,NO CHANGE,0.86%
05464C101,AXON,Axon Enterprise Inc,1500,0,851.89K,0,NO CHANGE,0.8%
74762E102,PWR,Quanta Services Inc,2000,0,844.12K,0,NO CHANGE,0.79%
911363109,URI,United Rentals Inc,1000,0,809.32K,0,NO CHANGE,0.76%
422806109,HEI,HEICO Corp,2500,0,808.98K,0,NO CHANGE,0.76%
09857L108,BKNG,Booking Hldgs Inc,150,0,803.3K,0,NO CHANGE,0.76%
94419L101,W,Wayfair Inc Cl A,7500,0,753.08K,0,NO CHANGE,0.71%
22788C105,CRWD,CrowdStrike Hldgs Inc,1500,0,703.14K,0,NO CHANGE,0.66%
45073V108,ITT,ITT Inc,4000,0,694.04K,0,NO CHANGE,0.65%
98419M100,XYL,Xylem Inc,5000,0,680.9K,0,NO CHANGE,0.64%
G3643J108,FLUT,Flutter Entertainment PLC DI,3126,0,672.22K,0,NO CHANGE,0.63%
101137107,BSX,Boston Scientific Corp,7000,0,667.45K,0,NO CHANGE,0.63%
336433107,FSLR,First Solar Inc,2500,0,653.08K,0,NO CHANGE,0.61%
701094104,PH,Parker Hannifin Corp,741,0,651.31K,0,NO CHANGE,0.61%
46625H100,JPM,JPMorgan Chase & Co,2000,0,644.44K,0,NO CHANGE,0.61%
038222105,AMAT,Applied Materials Inc,2500,0,642.48K,0,NO CHANGE,0.6%
573284106,MLM,Martin Marietta Mtls,1000,0,622.66K,0,NO CHANGE,0.59%
G6700G107,NVT,nVent Electric PLC,6000,0,611.82K,0,NO CHANGE,0.58%
749527107,REVG,REV Group Inc,10000,0,608.1K,0,NO CHANGE,0.57%
008073108,AVAV,Aerovironment Inc,2500,0,604.73K,0,NO CHANGE,0.57%
920253101,VMI,Valmont Industries,1500,0,603.48K,0,NO CHANGE,0.57%
30303M102,META,Meta Platforms Inc Cl A,900,0,594.08K,0,NO CHANGE,0.56%
745867101,PHM,Pulte Group Inc,5000,0,586.3K,0,NO CHANGE,0.55%
773903109,ROK,Rockwell Automation,1500,0,583.61K,0,NO CHANGE,0.55%
L8681T102,SPOT,Spotify Technology SA,1000,0,580.71K,0,NO CHANGE,0.55%
666807102,NOC,Northrop Grumman Corp,1000,0,570.21K,0,NO CHANGE,0.54%
45168D104,IDXX,IDEXX Laboratories Inc,825,0,558.14K,0,NO CHANGE,0.53%
34959E109,FTNT,Fortinet Inc,7000,0,555.87K,0,NO CHANGE,0.52%
55024U109,LITE,Lumentum Hldgs Inc,1500,0,552.88K,0,NO CHANGE,0.52%
942749102,WTS,Watts Water Tech Cl A,2000,0,552.04K,0,NO CHANGE,0.52%
75513E101,RTX,RTX Corp,3000,0,550.2K,0,NO CHANGE,0.52%
79466L302,CRM,Salesforce Inc,2000,0,529.82K,0,NO CHANGE,0.5%
863667101,SYK,Stryker Corp,1500,0,527.21K,0,NO CHANGE,0.5%
94106B101,WCN,Waste Connections Inc,3000,0,526.08K,0,NO CHANGE,0.49%
056525108,BMI,Badger Meter Inc,3000,0,523.23K,0,NO CHANGE,0.49%
18467V109,YOU,Clear Secure Inc Cl A,14900,0,522.69K,0,NO CHANGE,0.49%
833034101,SNA,Snap-On Inc,1500,0,516.9K,0,NO CHANGE,0.49%
874054109,TTWO,Take-Two Interactive Software,2000,0,512.06K,0,NO CHANGE,0.48%
879360105,TDY,Teledyne Technologies Inc,1000,0,510.73K,0,NO CHANGE,0.48%
858119100,STLD,Steel Dynamics Inc,3000,0,508.35K,0,NO CHANGE,0.48%
688239201,OSK,Oshkosh Corp,4000,0,502.52K,0,NO CHANGE,0.47%
375558103,GILD,Gilead Sciences Inc,4000,0,490.96K,0,NO CHANGE,0.46%
650111107,NYT,New York Times Cl A,7000,0,485.94K,0,NO CHANGE,0.46%
184496107,CLH,Clean Harbors Inc,2000,0,468.96K,0,NO CHANGE,0.44%
244199105,DE,Deere & Co,1000,0,465.57K,0,NO CHANGE,0.44%
95040Q104,WELL,Welltower Inc REIT,2500,0,464.02K,0,NO CHANGE,0.44%
632307104,NTRA,Natera Inc,2000,0,458.18K,0,NO CHANGE,0.43%
143658300,CCL,Carnival Corp,15000,0,458.1K,0,NO CHANGE,0.43%
09581B103,OWL,Blue Owl Capital Inc,30000,0,448.2K,0,NO CHANGE,0.42%
690742101,OC,Owens Corning Inc,4000,0,447.64K,0,NO CHANGE,0.42%
278865100,ECL,Ecolab Inc,1700,0,446.28K,0,NO CHANGE,0.42%
776696106,ROP,Roper Technologies Inc,1000,0,445.13K,0,NO CHANGE,0.42%
686688102,ORA,Ormat Tech Inc,4000,0,441.88K,0,NO CHANGE,0.42%
502431109,LHX,L3Harris Technologies Inc,1500,0,440.36K,0,NO CHANGE,0.41%
94106L109,WM,Waste Mgmt Inc,2000,0,439.42K,0,NO CHANGE,0.41%
219350105,GLW,Corning Inc,5000,0,437.8K,0,NO CHANGE,0.41%
72703H101,PLNT,Planet Fitness Inc Cl A,4000,0,433.88K,0,NO CHANGE,0.41%
23331A109,DHI,DR Horton Inc,3000,0,432.09K,0,NO CHANGE,0.41%
958102105,WDC,Western Digital Corp,2500,0,430.68K,0,NO CHANGE,0.41%
538034109,LYV,Live Nation Entmt Inc,3000,0,427.5K,0,NO CHANGE,0.4%
30212P303,EXPE,Expedia Grp Inc,1500,0,424.96K,0,NO CHANGE,0.4%
760759100,RSG,Republic Services Inc,2000,0,423.86K,0,NO CHANGE,0.4%
H5919C104,ONON,On Holding AG Cl A,9000,0,418.32K,0,NO CHANGE,0.39%
25754A201,DPZ,Domino's Pizza Inc,1000,0,416.82K,0,NO CHANGE,0.39%
G7S00T104,PNR,Pentair PLC,4000,0,416.56K,0,NO CHANGE,0.39%
109696104,BCO,Brink's Co,3500,0,408.56K,0,NO CHANGE,0.38%
670346105,NUE,Nucor Corp,2500,0,407.77K,0,NO CHANGE,0.38%
032654105,ADI,Analog Devices Inc,1500,0,406.8K,0,NO CHANGE,0.38%
025537101,AEP,American Elec Power,3500,0,403.58K,0,NO CHANGE,0.38%
039653100,ACA,Arcosa Inc,3700,0,393.38K,0,NO CHANGE,0.37%
817565104,SCI,Service Corp Intl,5000,0,389.85K,0,NO CHANGE,0.37%
16411R208,LNG,Cheniere Energy Inc,2000,0,388.78K,0,NO CHANGE,0.37%
09260D107,BX,Blackstone Inc,2500,0,385.35K,0,NO CHANGE,0.36%
872540109,TJX,TJX Companies Inc,2500,0,384.02K,0,NO CHANGE,0.36%
693718108,PCAR,Paccar Inc,3500,0,383.29K,0,NO CHANGE,0.36%
237194105,DRI,Darden Restaurants,2000,0,368.04K,0,NO CHANGE,0.35%
12653C108,CNX,CNX Resources Corp,10000,0,367.7K,0,NO CHANGE,0.35%
535555106,LNN,Lindsay Corp,3000,0,353.61K,0,NO CHANGE,0.33%
00724F101,ADBE,Adobe Inc,1000,0,349.99K,0,NO CHANGE,0.33%
592688105,MTD,Mettler-Toledo Intl,250,0,348.55K,0,NO CHANGE,0.33%
247361702,DAL,Delta Air Lines Inc,5000,0,347K,0,NO CHANGE,0.33%
235851102,DHR,Danaher Corp,1500,0,343.38K,0,NO CHANGE,0.32%
171484108,CHDN,Churchill Downs Inc,3000,0,341.34K,0,NO CHANGE,0.32%
28176E108,EW,Edwards Lifesciences,4000,0,341K,0,NO CHANGE,0.32%
573874104,MRVL,Marvell Technology Inc,4000,0,339.92K,0,NO CHANGE,0.32%
46982L108,J,Jacobs Solutions Inc,2500,0,331.15K,0,NO CHANGE,0.31%
681116109,OLLI,Ollie's Bargain Outlet Hldgs,3000,0,328.83K,0,NO CHANGE,0.31%
031162100,AMGN,Amgen Inc,1000,0,327.31K,0,NO CHANGE,0.31%
030420103,AWK,American Water Works,2500,0,326.25K,0,NO CHANGE,0.31%
504922105,LH,LABCORP Holdings Inc,1300,0,326.14K,0,NO CHANGE,0.31%
65339F101,NEE,NextEra Energy Inc,4000,0,321.12K,0,NO CHANGE,0.3%
68162K106,ZEUS,Olympic Steel Inc,7500,0,320.89K,0,NO CHANGE,0.3%
574599106,MAS,Masco Corp,5000,0,317.3K,0,NO CHANGE,0.3%
02079K107,GOOG,Alphabet Inc Cl C,1000,0,313.8K,0,NO CHANGE,0.3%
679580100,ODFL,Old Dominion Freight Line,2000,0,313.6K,0,NO CHANGE,0.3%
217204106,CPRT,Copart Inc,8000,0,313.2K,0,NO CHANGE,0.29%
001084102,AGCO,AGCO Corp,3000,0,312.96K,0,NO CHANGE,0.29%
34354P105,FLS,Flowserve Corp,4500,0,312.21K,0,NO CHANGE,0.29%
125269100,CF,CF Industries Hldgs Inc,4000,0,309.36K,0,NO CHANGE,0.29%
90384S303,ULTA,Ulta Beauty Inc,500,0,302.5K,0,NO CHANGE,0.28%
892356106,TSCO,Tractor Supply Co,6000,0,300.06K,0,NO CHANGE,0.28%
92338C103,VLTO,Veralto Corp,3000,0,299.34K,0,NO CHANGE,0.28%
624756102,MLI,Mueller Ind Inc,2500,0,287K,0,NO CHANGE,0.27%
465741106,ITRI,Itron Inc,3000,0,278.58K,0,NO CHANGE,0.26%
90278Q108,UFPI,UFP Industries Inc,3000,0,273.15K,0,NO CHANGE,0.26%
037833100,AAPL,Apple Inc,1000,0,271.86K,0,NO CHANGE,0.26%
313855108,FSS,Federal Signal Co,2500,0,271.48K,0,NO CHANGE,0.26%
929160109,VMC,Vulcan Materials Co,950,0,270.96K,0,NO CHANGE,0.25%
525327102,LDOS,Leidos Hldgs Inc,1500,0,270.6K,0,NO CHANGE,0.25%
450056106,IRTC,iRhythm Holdings Inc,1500,0,266.16K,0,NO CHANGE,0.25%
893641100,TDG,TransDigm Grp Inc,200,0,265.97K,0,NO CHANGE,0.25%
252131107,DXCM,DexCom Inc,4000,0,265.48K,0,NO CHANGE,0.25%
68902V107,OTIS,Otis Worldwide Corp,3000,0,262.05K,0,NO CHANGE,0.25%
053015103,ADP,Automatic Data Processing,1000,0,257.23K,0,NO CHANGE,0.24%
74736K101,QRVO,Qorvo Inc,3000,0,253.53K,0,NO CHANGE,0.24%
771049103,RBLX,Roblox Corp Cl A,3100,0,251.19K,0,NO CHANGE,0.24%
002824100,ABT,Abbott Laboratories,2000,0,250.58K,0,NO CHANGE,0.24%
531229755,FWONK,Liberty Media Corp Liberty For,2500,0,246.28K,0,NO CHANGE,0.23%
989207105,ZBRA,Zebra Tech Corp Cl A,1000,0,242.82K,0,NO CHANGE,0.23%
969457100,WMB,Williams Cos Inc,4000,0,240.44K,0,NO CHANGE,0.23%
624758108,MWA,Mueller Water Products Cl A,10000,0,238.2K,0,NO CHANGE,0.22%
60471A101,MIR,Mirion Technologies Inc,10000,0,234.2K,0,NO CHANGE,0.22%
750917106,RMBS,Rambus Inc,2500,0,229.72K,0,NO CHANGE,0.22%
77543R102,ROKU,Roku Inc,2000,0,216.98K,0,NO CHANGE,0.2%
130788102,CWT,California Water Srvc,5000,0,216.65K,0,NO CHANGE,0.2%
98980L101,ZM,Zoom Communications Inc Cl A,2500,0,215.72K,0,NO CHANGE,0.2%
98138H101,WDAY,Workday Inc Cl A,1000,0,214.78K,0,NO CHANGE,0.2%
758750103,RRX,Regal Rexnord Corp,1500,0,210.48K,0,NO CHANGE,0.2%
H17182108,CRSP,CRISPR Therapeutics AG,4000,0,209.76K,0,NO CHANGE,0.2%
98954M200,Z,Zillow Grp Inc Cl C,3000,0,204.66K,0,NO CHANGE,0.19%
70614W100,PTON,Peloton Interactive Inc Cl A,24000,0,147.84K,0,NO CHANGE,0.14%
69121K104,OBDC,Blue Owl Capital Corp,10000,0,124.3K,0,NO CHANGE,0.12%
654484609,NB,NioCorp Developments Ltd,0,-10000,0,-66.8K,CLOSE,0%
H8817H100,RIG,Transocean Ltd,0,-22500,0,-70.2K,CLOSE,0%
90353T100,UBER,Uber Technologies Inc,5000,-1000,408.55K,-81.71K,-16.7%,0.38%
052800109,ALV,Autoliv Inc,4440,-760,527.03K,-90.21K,-14.6%,0.5%
256135203,RDY,Dr Reddy's Lab Ltd ADR,16540,-8460,232.22K,-118.78K,-33.8%,0.22%
670100205,NVO,Novo Nordisk A/S Sp ADR,4630,-2370,235.57K,-120.59K,-33.9%,0.22%
13646K108,CP,Canadian Pacific Kansas City L,3320,-1680,244.45K,-123.7K,-33.6%,0.23%
780259305,SHEL,Shell PLC Sp ADR,3200,-1800,235.14K,-132.26K,-36%,0.22%
136375102,CNI,Canadian Natl Rwy Co,5140,-1360,508.09K,-134.44K,-20.9%,0.48%
366505105,GTX,Garrett Motion Inc,0,-10000,0,-136.2K,CLOSE,0%
136385101,CNQ,Canadian Natural Resources,5960,-4040,201.75K,-136.75K,-40.4%,0.19%
833635105,SQM,Sociedad Quimica y Minera de C,5480,-2020,377.02K,-138.98K,-26.9%,0.35%
055622104,BP,BP PLC Sp ADR,5960,-4040,206.99K,-140.31K,-40.4%,0.19%
453038408,IMO,Imperial Oil Ltd,3320,-1680,286.55K,-145K,-33.6%,0.27%
01609W102,BABA,Alibaba Grp Hldg Ltd Sp ADR,1500,-1000,219.87K,-146.58K,-40%,0.21%
064149107,BNS,Bank of Nova Scotia,2980,-2020,219.6K,-148.85K,-40.4%,0.21%
874060205,TAK,Takeda Pharma Co Ltd Sp ADR,14880,-10120,231.98K,-157.77K,-40.5%,0.22%
H01301128,ALC,Alcon Inc,2980,-2020,234.85K,-159.2K,-40.4%,0.22%
780087102,RY,Royal Bank of Canada,1990,-1010,339.27K,-172.19K,-33.7%,0.32%
80105N105,SNY,Sanofi Sp ADR,6390,-3610,309.66K,-174.94K,-36.1%,0.29%
06849F108,B,Barrick Mining Corp,15860,-4040,690.7K,-175.94K,-20.3%,0.65%
N6596X109,NXPI,NXP Semiconductors NV,1180,-820,256.13K,-177.99K,-41%,0.24%
867224107,SU,Suncor Energy Inc,5960,-4040,264.39K,-179.21K,-40.4%,0.25%
03938L203,MT,ArcelorMittal NY Reg,5970,-4030,272.05K,-183.65K,-40.3%,0.26%
