CUSIP,Ticker,Company,Shares,Delta_Shares,Value,Delta_Value,Delta,Portfolio%
01626W101,ALIT,ALIGHT INC,12667098,12667098,24.7M,24.7M,NEW,4.1%
02079K305,GOOGL,ALPHABET INC,39440,39440,12.34M,12.34M,NEW,2%
76134H101,RHLD,RESOLUTE HLDGS MGMT INC,207774,54269,42.89M,11.2M,+35.4%,7.1%
45826T509,ITRG,INTEGRA RES CORP,475000,475000,1.9M,1.9M,NEW,0.32%
014491104,ALEX,ALEXANDER & BALDWIN INC NEW,70000,70000,1.44M,1.44M,NEW,0.24%
09581B103,OWL,BLUE OWL CAPITAL INC,75000,75000,1.12M,1.12M,NEW,0.19%
415864107,NVRI,ENVIRI CORP,50000,50000,896K,896K,NEW,0.15%
462260100,IOVA,IOVANCE BIOTHERAPEUTICS INC,300000,300000,819K,819K,NEW,0.14%
970646105,WLFC,WILLIS LEASE FIN CORP,12002,6002,1.63M,814.11K,+100%,0.27%
021513106,ALTO,ALTO INGREDIENTS INC,250200,250200,720.58K,720.58K,NEW,0.12%
G9675P102,WLAC,WILLOW LANE ACQUISITION CORP,55728,55728,704.4K,704.4K,NEW,0.12%
53635D202,LQDA,LIQUIDIA CORPORATION,20000,20000,689.8K,689.8K,NEW,0.11%
416906105,HBIO,HARVARD BIOSCIENCE INC,1108692,1008692,741.49K,674.61K,+1008.7%,0.12%
124830878,CBL,CBL & ASSOC PPTYS INC,17183,17183,635.77K,635.77K,NEW,0.11%
682095104,OFLX,OMEGA FLEX INC,20033,20033,589.77K,589.77K,NEW,0.1%
70450Y103,PYPL,PAYPAL HLDGS INC,10000,10000,583.8K,583.8K,NEW,0.1%
911163103,UNFI,UNITED NAT FOODS INC,15000,15000,505.05K,505.05K,NEW,0.08%
30049H102,EVLV,EVOLV TECHNOLOGIES HLDNGS IN,70087,70087,501.82K,501.82K,NEW,0.08%
415858109,HROW,HARROW INC,10000,10000,490K,490K,NEW,0.08%
48669G303,KZIA,KAZIA THERAPEUTICS LTD,70000,70000,470.25K,470.25K,NEW,0.08%
277461406,KODK,EASTMAN KODAK CO,54603,54603,461.94K,461.94K,NEW,0.08%
