CUSIP,Ticker,Company,Shares,Delta_Shares,Value,Delta_Value,Delta,Portfolio%
952845105,WFG,WEST FRASER TIMBER CO LTD,1489342,1489342,91.01M,91.01M,NEW,1.7%
412822108,HOG,HARLEY-DAVIDSON INC,8899204,2095477,182.34M,42.94M,+30.8%,3.4%
152006102,CGAU,CENTERRA GOLD INC.,14158116,2535492,203.45M,36.44M,+21.8%,3.8%
750236101,RDN,RADIAN GROUP INC,3012255,916003,108.41M,32.97M,+43.7%,2%
48666K109,KBH,KB HOME,725394,576694,40.92M,32.53M,+387.8%,0.77%
783754104,RYI,RYERSON HOLDING CORP,1889916,1276189,47.55M,32.11M,+207.9%,0.89%
373737105,GGB,GERDAU SA,24211588,7982296,89.34M,29.45M,+49.2%,1.7%
21871X109,CRBG,COREBRIDGE FINANCIAL INC,4344219,930669,131.07M,28.08M,+27.3%,2.5%
G8192H106,SPNT,SIRIUSPOINT LTD,8428966,1026284,184.51M,22.47M,+13.9%,3.5%
61945C103,MOS,THE MOSAIC COMPANY,4622405,929329,111.35M,22.39M,+25.2%,2.1%
700517105,PK,PARK HOTELS & RESORTS INC,14617921,1813338,152.9M,18.97M,+14.2%,2.9%
74965L101,RLJ,RLJ LODGING TRUST,13140744,2463189,97.9M,18.35M,+23.1%,1.8%
G42706104,HG,HAMILTON INSURANCE GROUP - CLASS B,1552870,646106,43.33M,18.03M,+71.3%,0.81%
438128308,HMC,HONDA MOTOR CO ADR,2648828,590128,78.09M,17.4M,+28.7%,1.5%
G3223R108,EG,EVEREST GROUP LTD.,435696,44272,147.85M,15.02M,+11.3%,2.8%
46990A102,JRVR,JAMES RIVER GROUP HOLDINGS,1671220,1671220,10.63M,10.63M,NEW,0.2%
55305B101,MHO,M/I HOMES,1463340,82090,187.23M,10.5M,+5.9%,3.5%
88830M102,TWI,TITAN INTERNATIONAL INC,3491649,1297542,27.34M,10.16M,+59.1%,0.51%
02005N100,ALLY,ALLY FINANCIAL INC,2722909,163046,123.32M,7.38M,+6.4%,2.3%
172967424,C,CITIGROUP INC,1260430,56807,147.08M,6.63M,+4.7%,2.8%
887399103,MTUS,METALLUS INC,963671,319465,16.54M,5.48M,+49.6%,0.31%
17888H103,CIVI,CIVITAS RESOURCES INC,4485476,158916,121.51M,4.31M,+3.7%,2.3%
880890108,TX,TERNIUM SA - SPONSORED ADR,3808645,66062,145.45M,2.52M,+1.8%,2.7%
65535H208,NMR,NOMURA HOLDINGS INC,12695534,274787,106.52M,2.31M,+2.2%,2%
94188P101,WSBF,WATERSTONE FINANCIAL INC,127770,127770,2.11M,2.11M,NEW,0.04%
620071100,MPAA,MOTORCAR PARTS OF AMERICA,960289,169979,11.85M,2.1M,+21.5%,0.22%
608190104,MHK,MOHAWK INDUSTRIES INC,289009,10743,31.59M,1.17M,+3.9%,0.59%
439038100,HOFT,HOOKER FURNISHINGS CORP,1066754,70681,12.04M,797.99K,+7.1%,0.23%
16208T102,CLDT,CHATHAM LODGING TRUST,4684548,88879,31.9M,605.27K,+1.9%,0.6%
00773T101,ASIX,ADVANSIX INC,245950,19390,4.25M,335.45K,+8.6%,0.08%
46655E100,DC,DAKOTA GOLD CORP,1080000,0,6.13M,0,NO CHANGE,0.11%
714266103,PPTA,PERPETUA RESOURCES CORP,238000,0,5.76M,0,NO CHANGE,0.11%
