CUSIP,Ticker,Company,Shares,Delta_Shares,Value,Delta_Value,Delta,Portfolio%
81141R100,SE,Sea Ltd,1006500,498412,128.4M,63.58M,+98.1%,19%
G1110E107,BHVN,Biohaven Ltd,6250000,4550000,70.56M,51.37M,+267.6%,10.4%
67066G104,NVDA,NVIDIA Corp,200000,200000,37.3M,37.3M,NEW,5.5%
37637K108,GTLB,Gitlab Inc,1400000,434834,52.54M,16.32M,+45.1%,7.8%
349381103,FIGR,Figure Technology Solutions Inc,1325000,175000,54.11M,7.15M,+15.2%,8%
08205P209,BNTC,BENITEC BIOPHARMA INC,898871,398871,12.11M,5.37M,+79.8%,1.8%
04272N102,AVBP,Arrivent Biopharma Inc,4123923,255000,82.97M,5.13M,+6.6%,12.3%
871607107,SNPS,Synopsys Inc,10000,10000,4.7M,4.7M,NEW,0.7%
26142V105,DKNG,DKNG 01/16/2026 CALL 35,500000,500000,450K,450K,NEW,0.07%
91332U101,U,Unity Software Inc,1400000,0,61.84M,0,NO CHANGE,9.2%
874039100,TSM,Taiwan Semiconductor Manufacturing Co Ltd,175000,0,53.18M,0,NO CHANGE,7.9%
20717M103,CFLT,Confluent Inc,1250000,0,37.8M,0,NO CHANGE,5.6%
02079K107,GOOG,ALPHABET INC,100000,0,31.38M,0,NO CHANGE,4.6%
023135106,AMZN,Amazon.Com Inc,125000,0,28.85M,0,NO CHANGE,4.3%
03945R102,ACHR,Archer Aviation Inc,1112187,0,8.36M,0,NO CHANGE,1.2%
896945201,TRIP,TripAdvisor Inc,380500,0,5.54M,0,NO CHANGE,0.82%
30303M102,META,Meta Platforms Inc,4000,0,2.64M,0,NO CHANGE,0.39%
36866J105,GEMI,GEMINI SPACE STA INC,0,-100000,0,-2.4M,CLOSE,0%
G5784H106,MANU,Manchester United PLC,192000,-178000,3.06M,-2.83M,-48.1%,0.45%
92864V608,EMPD,EMPERY DIGITAL INC,0,-1000000,0,-7.52M,CLOSE,0%
N07059210,ASML,ASML HOLDING N V,0,-10000,0,-9.68M,CLOSE,0%
336433107,FSLR,FIRST SOLAR INC,0,-75000,0,-16.54M,CLOSE,0%
316841105,FIG,FIGMA INC,0,-400000,0,-20.75M,CLOSE,0%
Total,,,,,675.8M,131.65M,+24.2%,100%
