CUSIP,Ticker,Company,Shares,Delta_Shares,Value,Delta_Value,Delta,Portfolio%
530909308,LLYVK,LIBERTY LIVE HOLDINGS INC,1173090,1173090,97.55M,97.55M,NEW,40.5%
G63755105,NIQ,NIQ GLOBAL INTELLIGENCE PLC,3294924,2337530,54.33M,38.55M,+244.2%,22.6%
530909100,LLYVA,LIBERTY LIVE HOLDINGS INC,368121,368121,30M,30M,NEW,12.5%
530307107,LBRDA,LIBERTY BROADBAND CORP,635155,0,30.67M,0,NO CHANGE,12.7%
090572207,BIO,BIO RAD LABS INC,92100,0,27.91M,0,NO CHANGE,11.6%
530307305,LBRDK,LIBERTY BROADBAND CORP,5540,0,269.24K,0,NO CHANGE,0.11%
G9503X111,WALDW,WALDENCAST PLC,333333,0,12.12K,0,NO CHANGE,<.01%
047726302,BATRK,ATLANTA BRAVES HLDGS INC,0,-120955,0,-5.03M,CLOSE,0%
531229748,LLYVA,LIBERTY MEDIA CORP DEL,0,-368121,0,-34.71M,CLOSE,0%
531229722,LLYVK,LIBERTY MEDIA CORP DEL,0,-1173090,0,-113.75M,CLOSE,0%
Total,,,,,240.74M,12.6M,+5.4%,100%
