CUSIP,Ticker,Company,Shares,Delta_Shares,Value,Delta_Value,Delta,Portfolio%
169656105,CMG,CHIPOTLE MEXICAN GRILL INC,219808,131653,8.54M,5.12M,+149.3%,1.1%
85207H104,PHYS,SPROTT ASSET MANAGEMENT LP,356193,127170,12.99M,4.64M,+55.5%,1.6%
40167F101,GOF,GUGGENHEIM STRATEGIC OPPORTU,362801,362801,4.64M,4.64M,NEW,0.57%
01609W102,BABA,ALIBABA GROUP HLDG LTD,25975,25975,4.4M,4.4M,NEW,0.54%
69374H709,GCOW,PACER FDS TR,95127,95127,4.2M,4.2M,NEW,0.52%
464287556,IBB,ISHARES TR,23052,23052,3.97M,3.97M,NEW,0.49%
58507V107,MDLN,MEDLINE INC,85642,85642,3.79M,3.79M,NEW,0.47%
631103108,NDAQ,NASDAQ INC,37906,37906,3.67M,3.67M,NEW,0.45%
478160104,JNJ,JOHNSON & JOHNSON,26216,15833,5.96M,3.6M,+152.5%,0.73%
26923G301,BBC,ETFIS SER TR I,84970,84970,3.47M,3.47M,NEW,0.43%
09290D101,BLK,BLACKROCK INC,7808,2832,8.74M,3.17M,+56.9%,1.1%
00162Q452,AMLP,ALPS ETF TR,154355,53162,7.72M,2.66M,+52.5%,0.95%
85207K107,PSLV,SPROTT ASSET MANAGEMENT LP,509964,80707,13.47M,2.13M,+18.8%,1.7%
78462F103,SPY,SPDR S&P 500 ETF TR,67601,2903,46.78M,2.01M,+4.5%,5.8%
78468R523,BILS,SPDR SERIES TRUST,98306,18471,9.78M,1.84M,+23.1%,1.2%
194162103,CL,COLGATE PALMOLIVE CO,17633,17633,1.59M,1.59M,NEW,0.2%
98149E303,GLDM,WORLD GOLD TR,13822,13822,1.33M,1.33M,NEW,0.16%
46436E189,ICOP,ISHARES TR,24448,24448,1.25M,1.25M,NEW,0.15%
464287390,ILF,ISHARES TR,323234,34080,11.43M,1.21M,+11.8%,1.4%
040413205,ANET,ARISTA NETWORKS INC,80987,8469,11.48M,1.2M,+11.7%,1.4%
452308109,ITW,ILLINOIS TOOL WKS INC,4463,4463,1.17M,1.17M,NEW,0.14%
464288182,AAXJ,ISHARES TR,99635,11532,9.99M,1.16M,+13.1%,1.2%
46428Q109,SLV,ISHARES SILVER TR,15274,15274,1.15M,1.15M,NEW,0.14%
911549103,UAMY,UNITED STATES ANTIMONY CORP,153515,153515,1.13M,1.13M,NEW,0.14%
G6683N103,NU,NU HLDGS LTD,630649,53921,11.19M,957.1K,+9.3%,1.4%
46137V357,RSP,INVESCO EXCHANGE TRADED FD T,153782,4704,30.46M,931.77K,+3.2%,3.8%
037833100,AAPL,APPLE INC,21243,3468,5.51M,899.87K,+19.5%,0.68%
457187102,INGR,INGREDION INC,7435,7435,878.1K,878.1K,NEW,0.11%
747525103,QCOM,QUALCOMM INC,5362,5362,812.85K,812.85K,NEW,0.1%
184496107,CLH,CLEAN HARBORS INC,3003,3003,780.51K,780.51K,NEW,0.1%
023135106,AMZN,AMAZON COM INC,45794,3225,10.96M,771.74K,+7.6%,1.4%
580135101,MCD,MCDONALDS CORP,5871,2297,1.85M,723.55K,+64.3%,0.23%
67103H107,ORLY,OREILLY AUTOMOTIVE INC,10141,7332,997.98K,721.54K,+261%,0.12%
922908769,VTI,VANGUARD INDEX FDS,4405,2088,1.5M,711.06K,+90.1%,0.19%
885213108,TBLD,THORNBURG INCM BUILDER OPP T,434901,33282,9.22M,705.25K,+8.3%,1.1%
30303M102,META,META PLATFORMS INC,3674,972,2.63M,696.37K,+36%,0.32%
67066G104,NVDA,NVIDIA CORPORATION,391382,3606,74.8M,689.22K,+0.9%,9.2%
617700109,MORN,MORNINGSTAR INC,3396,3396,686.31K,686.31K,NEW,0.08%
256163106,DOCU,DOCUSIGN INC,16556,12859,869.85K,675.61K,+347.8%,0.11%
59522J103,MAA,MID-AMER APT CMNTYS INC,4992,4992,670.37K,670.37K,NEW,0.08%
20030N101,CMCSA,COMCAST CORP NEW,22145,22145,658.82K,658.82K,NEW,0.08%
38141G104,GS,GOLDMAN SACHS GROUP INC,1419,694,1.33M,649.3K,+95.7%,0.16%
548661107,LOW,LOWES COS INC,2394,2394,639.34K,639.34K,NEW,0.08%
36467J108,GLPI,GAMING & LEISURE PPTYS INC,13503,13503,604.27K,604.27K,NEW,0.07%
G1151C101,ACN,ACCENTURE PLC IRELAND,3643,2223,960.44K,586.07K,+156.5%,0.12%
053611109,AVY,AVERY DENNISON CORP,3139,3139,582.37K,582.37K,NEW,0.07%
76171L106,REYN,REYNOLDS CONSUMER PRODS INC,25006,25006,579.39K,579.39K,NEW,0.07%
92206C714,VONV,VANGUARD SCOTTSDALE FDS,74404,5823,7.18M,561.8K,+8.5%,0.89%
98980L101,ZM,ZOOM COMMUNICATIONS INC,15205,6024,1.4M,554.81K,+65.6%,0.17%
459506101,IFF,INTERNATIONAL FLAVORS&FRAGRA,7927,7927,553.39K,553.39K,NEW,0.07%
87612E106,TGT,TARGET CORP,5182,5182,546.55K,546.55K,NEW,0.07%
55306N104,MKSI,MKS INC.,2292,2292,539.56K,539.56K,NEW,0.07%
