CUSIP,Ticker,Company,Shares,Delta_Shares,Value,Delta_Value,Delta,Portfolio%
278768106,SATS,ECHOSTAR CORP,6119103,6119103,665.15M,665.15M,NEW,15.1%
530909308,LLYVK,LIBERTY LIVE HOLDINGS INC,5746719,5746719,477.9M,477.9M,NEW,10.8%
40171V100,GWRE,GUIDEWIRE SOFTWARE INC,5362728,1050577,1.08B,211.18M,+24.4%,24.4%
303250104,FICO,FAIR ISAAC CORP,122956,122956,207.87M,207.87M,NEW,4.7%
530909100,LLYVA,LIBERTY LIVE HOLDINGS INC,2498950,2498950,203.66M,203.66M,NEW,4.6%
88023U101,SGI,SOMNIGROUP INTERNATIONAL INC,8778047,2700,783.7M,241.06K,+0%,17.7%
531229771,FWONA,LIBERTY MEDIA CORP DEL,2118059,0,189.31M,0,NO CHANGE,4.3%
538034109,LYV,LIVE NATION ENTERTAINMENT IN,673090,0,95.92M,0,NO CHANGE,2.2%
531229755,FWONK,LIBERTY MEDIA CORP DEL,716285,0,70.56M,0,NO CHANGE,1.6%
893641100,TDG,TRANSDIGM GROUP INC,11022,0,14.66M,0,NO CHANGE,0.33%
819047101,SHAK,SHAKE SHACK INC,95502,0,7.75M,0,NO CHANGE,0.18%
922475108,VEEV,VEEVA SYS INC,2800018,-170236,625.05M,-38M,-5.7%,14.1%
531229748,LLYVA,LIBERTY MEDIA CORP DEL,0,-2498950,0,-235.65M,CLOSE,0%
531229722,LLYVK,LIBERTY MEDIA CORP DEL,0,-5746719,0,-557.26M,CLOSE,0%
Total,,,,,4.42B,935.09M,+24.5%,100%
