CUSIP,Ticker,Company,Shares,Delta_Shares,Value,Delta_Value,Delta,Portfolio%
075887109,BDX,BECTON DICKINSON & CO,131330,131330,25.49M,25.49M,NEW,3%
617446448,MS,MORGAN STANLEY,142929,142929,25.37M,25.37M,NEW,3%
G3934V109,GENI,GENIUS SPORTS LIMITED,2286584,2286584,25.2M,25.2M,NEW,3%
670100205,NVO,NOVO-NORDISK A S,444266,444266,22.6M,22.6M,NEW,2.7%
693475105,PNC,PNC FINL SVCS GROUP INC,106306,106306,22.19M,22.19M,NEW,2.6%
174610105,CFG,CITIZENS FINL GROUP INC,373607,373607,21.82M,21.82M,NEW,2.6%
70438V106,PCTY,PAYLOCITY HLDG CORP,121383,121383,18.51M,18.51M,NEW,2.2%
67080M103,NRIX,NURIX THERAPEUTICS INC,927729,927729,17.6M,17.6M,NEW,2.1%
92343E102,VRSN,VERISIGN INC,71278,71278,17.32M,17.32M,NEW,2.1%
109641100,EAT,BRINKER INTL INC,119904,119904,17.21M,17.21M,NEW,2%
26142V105,DKNG,DRAFTKINGS INC NEW,452289,452289,15.59M,15.59M,NEW,1.9%
03589W102,ANNX,ANNEXON INC,3100000,3100000,15.56M,15.56M,NEW,1.9%
172967424,C,CITIGROUP INC,128314,128314,14.97M,14.97M,NEW,1.8%
754730109,RJF,RAYMOND JAMES FINL INC,90741,90741,14.57M,14.57M,NEW,1.7%
354613101,BEN,FRANKLIN RESOURCES INC,562264,562264,13.43M,13.43M,NEW,1.6%
48251W104,KKR,KKR & CO INC,105345,105345,13.43M,13.43M,NEW,1.6%
888787108,TOST,TOAST INC,340925,340925,12.11M,12.11M,NEW,1.4%
023135106,AMZN,AMAZON COM INC,73500,48537,16.97M,11.2M,+194.4%,2%
31620M106,FIS,FIDELITY NATL INFORMATION SV,151695,151695,10.08M,10.08M,NEW,1.2%
086921103,BETA,BETA TECHNOLOGIES INC,349608,349608,9.86M,9.86M,NEW,1.2%
M5216V106,GLBE,GLOBAL E ONLINE LTD,239726,239726,9.42M,9.42M,NEW,1.1%
446150104,HBAN,HUNTINGTON BANCSHARES INC,531414,531414,9.22M,9.22M,NEW,1.1%
15135B101,CNC,CENTENE CORP DEL,223597,223597,9.2M,9.2M,NEW,1.1%
97650W108,WTFC,WINTRUST FINL CORP,64715,64715,9.05M,9.05M,NEW,1.1%
665859104,NTRS,NORTHERN TR CORP,65972,65972,9.01M,9.01M,NEW,1.1%
61174X109,MNST,MONSTER BEVERAGE CORP NEW,115867,115867,8.88M,8.88M,NEW,1.1%
407497106,HLNE,HAMILTON LANE INC,63619,63619,8.54M,8.54M,NEW,1%
77311W101,RKT,ROCKET COS INC,436794,436794,8.46M,8.46M,NEW,1%
882508104,TXN,TEXAS INSTRS INC,47164,47164,8.18M,8.18M,NEW,0.97%
84472E102,SSB,SOUTHSTATE BK CORP,86192,86192,8.11M,8.11M,NEW,0.96%
03990B101,ARES,ARES MANAGEMENT CORPORATION,49253,49253,7.96M,7.96M,NEW,0.95%
192446102,CTSH,COGNIZANT TECHNOLOGY SOLUTIO,94606,94606,7.85M,7.85M,NEW,0.93%
008252108,AMG,AFFILIATED MANAGERS GROUP IN,26553,26553,7.65M,7.65M,NEW,0.91%
60786M105,MC,MOELIS & CO,110660,110660,7.61M,7.61M,NEW,0.9%
805111101,SVRA,SAVARA INC,1246042,1246042,7.51M,7.51M,NEW,0.89%
852234103,XYZ,BLOCK INC,104842,104842,6.82M,6.82M,NEW,0.81%
G63755105,NIQ,NIQ GLOBAL INTELLIGENCE PLC,497489,396617,8.2M,6.54M,+393.2%,0.98%
72346Q104,PNFP,PINNACLE FINL PARTNERS INC,67341,67341,6.43M,6.43M,NEW,0.76%
85208M102,SFM,SPROUTS FMRS MKT INC,101644,77099,8.1M,6.14M,+314.1%,0.96%
142152107,CAI,CARIS LIFE SCIENCES INC,1509745,223777,40.73M,6.04M,+17.4%,4.8%
21217B100,CTNM,CONTINEUM THERAPEUTICS INC,470000,470000,5.37M,5.37M,NEW,0.64%
01862Q107,ALH,ALLIANCE LAUNDRY HLDGS INC,239760,239760,4.88M,4.88M,NEW,0.58%
649445400,FLG,FLAGSTAR BANK NATIONAL ASSOC,357189,357189,4.5M,4.5M,NEW,0.53%
16935C109,CHYM,CHIME FINL INC,176981,176981,4.45M,4.45M,NEW,0.53%
34965K107,FTRE,FORTREA HLDGS INC,252074,252074,4.35M,4.35M,NEW,0.52%
571903202,MAR,MARRIOTT INTL INC NEW,13764,13764,4.27M,4.27M,NEW,0.51%
46625H100,JPM,JPMORGAN CHASE & CO.,13050,13050,4.2M,4.2M,NEW,0.5%
86366E106,GPCR,STRUCTURE THERAPEUTICS INC,60000,60000,4.17M,4.17M,NEW,0.5%
580907103,MH,MCGRAW HILL INC,250251,250251,4.13M,4.13M,NEW,0.49%
75960P104,RELY,REMITLY GLOBAL INC,297689,297689,4.11M,4.11M,NEW,0.49%
92826C839,V,VISA INC,11489,11489,4.03M,4.03M,NEW,0.48%
903731107,ULS,UL SOLUTIONS INC,50823,50823,4.01M,4.01M,NEW,0.48%
320517105,FHN,FIRST HORIZON CORPORATION,163336,163336,3.9M,3.9M,NEW,0.46%
687604108,ORKA,ORUKA THERAPEUTICS INC,128110,128110,3.88M,3.88M,NEW,0.46%
518439104,EL,LAUDER ESTEE COS INC,36997,36997,3.87M,3.87M,NEW,0.46%
09290D101,BLK,BLACKROCK INC,3587,3587,3.84M,3.84M,NEW,0.46%
58507V107,MDLN,MEDLINE INC,90238,90238,3.79M,3.79M,NEW,0.45%
550249106,LMRI,LUMEXA IMAGING HOLDINGS INC,200000,200000,3.7M,3.7M,NEW,0.44%
122017106,BURL,BURLINGTON STORES INC,12521,12521,3.62M,3.62M,NEW,0.43%
819047101,SHAK,SHAKE SHACK INC,42500,42500,3.45M,3.45M,NEW,0.41%
08205P209,BNTC,BENITEC BIOPHARMA INC,290000,252463,3.91M,3.4M,+672.6%,0.46%
40054J109,AERO,GRUPO AEROMEXICO SAB DE CV,150000,150000,3.29M,3.29M,NEW,0.39%
02215L209,KNTK,KINETIK HOLDINGS INC,86364,85389,3.11M,3.08M,+8757.8%,0.37%
316773100,FITB,FIFTH THIRD BANCORP,62049,62049,2.9M,2.9M,NEW,0.35%
753018100,RANI,RANI THERAPEUTICS HLDGS INC,2113435,2113435,2.85M,2.85M,NEW,0.34%
143658300,CCL,CARNIVAL CORP,232869,87811,7.11M,2.68M,+60.5%,0.85%
74967X103,RH,RH,14500,14500,2.6M,2.6M,NEW,0.31%
47233W109,JEF,JEFFERIES FINL GROUP INC,40617,40617,2.52M,2.52M,NEW,0.3%
947002101,WLTH,WEALTHFRONT CORP,175000,175000,2.38M,2.38M,NEW,0.28%
45257U108,IMNM,IMMUNOME INC,102500,102500,2.2M,2.2M,NEW,0.26%
29414B104,EPAM,EPAM SYS INC,10157,10157,2.08M,2.08M,NEW,0.25%
