CUSIP,Ticker,Company,Shares,Delta_Shares,Value,Delta_Value,Delta,Portfolio%
39525U107,GFR,GREENFIRE RESOURCES ORD,1693492,1693492,8.08M,8.08M,NEW,3.5%
64440N103,NFGC,NEW FOUND GOLD ORD,1692643,1692643,5.01M,5.01M,NEW,2.2%
11271J107,BN,BROOKFIELD CL A ORD,227939,70788,10.46M,3.25M,+45%,4.5%
G0457F107,ARCO,ARCOS DORADOS HOLDINGS CL A ORD,3556906,226912,26.11M,1.67M,+6.8%,11.3%
15135U109,CVE,CENOVUS ENERGY ORD,12377,12377,209.4K,209.4K,NEW,0.09%
G17434104,BNT,BROOKFIELD WEALTH SOLUTIONS CL A ORD,1187,216,54.54K,9.93K,+22.2%,0.02%
25961D105,DOUG,DOUGLAS ELLIMAN ORD,2925990,0,6.93M,0,NO CHANGE,3%
88642R109,TDW,TIDEWATER ORD,102229,0,5.16M,0,NO CHANGE,2.2%
113004105,BAM,BROOKFIELD ASSET MNGMT CL A ORD,41318,-48,2.16M,-2.51K,-0.1%,0.93%
140501107,CSWC,CAPITAL SOUTHWEST ORD,61698,-12285,1.37M,-272.11K,-16.6%,0.59%
126402106,CSW,CSW INDUSTRIALS ORD,6847,-933,2.01M,-273.86K,-12%,0.87%
47233W109,JEF,JEFFERIES FINANCIAL GROUP ORD,609721,-70122,37.78M,-4.35M,-10.3%,16.3%
67077M108,NTR,NUTRIEN ORD,519789,-75832,32.08M,-4.68M,-12.7%,13.8%
G9460G101,VAL,VALARIS ORD,607897,-100117,30.64M,-5.05M,-14.1%,13.2%
059460303,BBD,BANCO BRADESCO ADR REPSTG 1 PRF,8303820,-1904170,27.65M,-6.34M,-18.7%,11.9%
962879102,WPM,WHEATON PRECIOUS METALS ORD,307902,-90445,36.18M,-10.63M,-22.7%,15.6%
Total,,,,,231.9M,-13.37M,-5.4%,100%
