CUSIP,Ticker,Company,Shares,Delta_Shares,Value,Delta_Value,Delta,Portfolio%
45104G104,IBN,ICICI BANK-ADR,7388440,4150207,220.18M,123.68M,+128.2%,19.8%
47215P106,JD,JD.COM INC-ADR,4253012,180081,122.06M,5.17M,+4.4%,11%
48268K101,KT,KT CORP-ADR,4529411,246124,85.92M,4.67M,+5.7%,7.7%
35969L108,YMM,FULL TRUCK A-ADR,10847821,240446,116.4M,2.58M,+2.3%,10.5%
413216300,HMY,HARMONY GOLD-ADR,95204,95204,1.89M,1.89M,NEW,0.17%
G2519Y108,BAP,CREDICORP LTD,10519,6519,3.02M,1.87M,+163%,0.27%
984245100,YPF,YPF SA-ADR,1670378,50395,60.4M,1.82M,+3.1%,5.4%
54150E104,LOMA,LOMA NEGRA C-ADR,120000,120000,1.55M,1.55M,NEW,0.14%
48581R205,KSPI,JSC KASPI.KZ,18237,18237,1.42M,1.42M,NEW,0.13%
056752108,BIDU,BAIDU INC-SP ADR,426013,10768,55.66M,1.41M,+2.6%,5%
51817R205,LTM,LATAM AIRLINES G,16743,16743,904.29K,904.29K,NEW,0.08%
01609W102,BABA,ALIBABA GRP-ADR,39398,4395,5.77M,644.22K,+12.6%,0.52%
910873405,UMC,UNITED MICRO-ADR,202000,77000,1.59M,605.22K,+61.6%,0.14%
15236F100,AXIA,AXIA ENERGIA-ADR,72335,72335,429.38K,429.38K,NEW,0.04%
L6388F110,TIGO,MILLICOM INTL,27054,0,1.5M,0,NO CHANGE,0.13%
58039P305,MUX,MCEWEN INC,50000,0,925.5K,0,NO CHANGE,0.08%
058934100,BBAR,BBVA ARGENT-ADR,30000,0,542.1K,0,NO CHANGE,0.05%
40049J206,TV,GRUPO TELEV-ADR,100000,0,291K,0,NO CHANGE,0.03%
71654V408,PBR,PETROBRAS SA-ADR,265853,-19520,3.15M,-231.31K,-6.8%,0.28%
05278C107,ATHM,AUTOHOME INC-ADR,2272864,-12075,50.59M,-268.79K,-0.5%,4.5%
874039100,TSM,TAIWAN SEMIC-ADR,453780,-2565,137.9M,-779.48K,-0.6%,12.4%
78440P306,SKM,SK TELEC-SPN ADR,0,-52439,0,-1.13M,CLOSE,0%
518613203,LAUR,LAUREATE EDUCATI,1537384,-67927,51.76M,-2.29M,-4.2%,4.7%
G06973112,AUGO,AURA MINERALS,27798,-55188,1.4M,-2.78M,-66.5%,0.13%
15234Q207,AXIA,AXIA ENERGIA-ADR,84977,-354705,778.39K,-3.25M,-80.7%,0.07%
21240E105,VLRS,CONTROLADORA-ADR,3996297,-1085436,35.49M,-9.64M,-21.4%,3.2%
92763W103,VIPS,VIPSHOP HOLD-ADR,2262683,-1093316,40.03M,-19.34M,-32.6%,3.6%
697900108,PAAS,PAN AMER SILVER,2147562,-852494,111.27M,-44.17M,-28.4%,10%
Total,,,,,1.11B,64.77M,+6.2%,100%
