CUSIP,Ticker,Company,Shares,Delta_Shares,Value,Delta_Value,Delta,Portfolio%
21874A106,CORZ,CORE SCIENTIFIC INC NEW,1119724,940111,16.3M,13.69M,+523.4%,4.6%
594972887,STRK,STRATEGY INC,200378,138878,15.78M,10.94M,+225.8%,4.4%
770700102,HOOD,ROBINHOOD MKTS INC,50000,50000,5.66M,5.66M,NEW,1.6%
594972AS0,MSTR,STRATEGY INC,5500000,5500000,4.53M,4.53M,NEW,1.3%
74277P105,BRR,PROCAP FINL INC,816073,816073,2.88M,2.88M,NEW,0.81%
88080T104,WULF,TERAWULF INC,200200,200200,2.3M,2.3M,NEW,0.64%
172573107,CRCL,CIRCLE INTERNET GROUP INC,10000,10000,793K,793K,NEW,0.22%
70450Y103,PYPL,PAYPAL HLDGS INC,10000,10000,583.8K,583.8K,NEW,0.16%
959802109,WU,WESTERN UN CO,60100,60100,559.53K,559.53K,NEW,0.16%
46438F101,IBIT,ISHARES BITCOIN TRUST ETF,1475046,46,73.24M,2.28K,+0%,20.5%
09174C104,BITB,BITWISE BITCOIN ETF TR,1960000,0,93.22M,0,NO CHANGE,26.1%
315948109,FBTC,FIDELITY WISE ORIGIN BITCOIN,1090000,0,83.09M,0,NO CHANGE,23.3%
389930207,BTC,GRAYSCALE BITCOIN MINI TR ET,520000,0,20.14M,0,NO CHANGE,5.6%
19260Q107,COIN,COINBASE GLOBAL INC,13001,0,2.94M,0,NO CHANGE,0.82%
820014405,SBET,SHARPLINK GAMING INC,3902430,-223000,34.89M,-1.99M,-5.4%,9.8%
G1828E100,CEPF,CANTOR EQUITY PARTNERS IV IN,0,-200000,0,-2.04M,CLOSE,0%
G2296A109,BRR,COLUMBUS CIRCLE CAP CORP. I,0,-280050,0,-2.83M,CLOSE,0%
49457M106,NAKA,KINDLY MD INC,0,-17764820,0,-19.01M,CLOSE,0%
Total,,,,,356.9M,16.05M,+3.5%,100%
