CUSIP,Ticker,Company,Shares,Delta_Shares,Value,Delta_Value,Delta,Portfolio%
G4939KAF3,IQ,IQIYI INC,22600000,22600000,22.71M,22.71M,NEW,4.7%
78463V107,GLD,SPDR GOLD TR,51590,51590,20.45M,20.45M,NEW,4.3%
02079K305,GOOGL,ALPHABET INC,163901,64091,51.3M,20.06M,+64.2%,10.7%
89677Q107,TCOM,TRIP COM GROUP LTD,206366,206366,14.84M,14.84M,NEW,3.1%
30303M102,META,META PLATFORMS INC,11586,9560,7.65M,6.31M,+471.9%,1.6%
90138A103,VNET,VNET GROUP INC,764056,724865,6.46M,6.13M,+1849.6%,1.3%
50202MAB8,LI,LI AUTO INC,2500000,2500000,2.53M,2.53M,NEW,0.53%
565788AF3,MARA,MARA HOLDINGS INC,2000000,2000000,1.59M,1.59M,NEW,0.33%
595112103,MU,MICRON TECHNOLOGY INC,5211,5211,1.49M,1.49M,NEW,0.31%
44332N106,HTHT,H WORLD GROUP LTD,29202,29202,1.37M,1.37M,NEW,0.29%
11135F101,AVGO,BROADCOM INC,16222,3716,5.61M,1.29M,+29.7%,1.2%
G21082105,CYD,CHINA YUCHAI INTL LTD,46196,35971,1.64M,1.28M,+351.8%,0.34%
89677QAB3,TCOM,TRIP COM GROUP LTD,19500000,1000000,24.06M,1.23M,+5.4%,5%
056752108,BIDU,BAIDU INC,8983,8983,1.17M,1.17M,NEW,0.24%
136635109,CSIQ,CANADIAN SOLAR INC,54005,46502,1.28M,1.11M,+619.8%,0.27%
G7997W102,SDRL,SEADRILL LTD,28888,28888,999.52K,999.52K,NEW,0.21%
874039100,TSM,TAIWAN SEMICONDUCTOR MFG LTD,57038,2990,17.33M,908.63K,+5.5%,3.6%
N07059210,ASML,ASML HOLDING N V,826,826,883.7K,883.7K,NEW,0.18%
767292105,RIOT,RIOT PLATFORMS INC,69579,69579,881.57K,881.57K,NEW,0.18%
26142V105,DKNG,DRAFTKINGS INC NEW,28098,24961,968.26K,860.16K,+795.7%,0.2%
553368101,MP,MP MATERIALS CORP,15376,15376,776.8K,776.8K,NEW,0.16%
256746108,DLTR,DOLLAR TREE INC,6259,6259,769.92K,769.92K,NEW,0.16%
722304102,PDD,PDD HOLDINGS INC,625807,6694,70.96M,759.03K,+1.1%,14.8%
G0260P102,AS,AMER SPORTS INC,20061,20061,749.28K,749.28K,NEW,0.16%
62914V106,NIO,NIO INC,139176,139176,709.8K,709.8K,NEW,0.15%
876511106,TGB,TASEKO MINES LTD,181064,123398,1.02M,698.43K,+214%,0.21%
801056102,SANM,SANMINA CORPORATION,4530,4530,679.82K,679.82K,NEW,0.14%
512807306,LRCX,LAM RESEARCH CORP,3856,3856,660.07K,660.07K,NEW,0.14%
33829M101,FIVE,FIVE BELOW INC,3404,3404,641.18K,641.18K,NEW,0.13%
518439104,EL,LAUDER ESTEE COS INC,9315,6061,975.47K,634.71K,+186.3%,0.2%
83443Q103,SOLS,SOLSTICE ADVANCED MATLS INC,12800,12800,621.82K,621.82K,NEW,0.13%
88557W101,QFIN,QFIN HOLDINGS INC,28375,28375,546.79K,546.79K,NEW,0.11%
458140100,INTC,INTEL CORP,14800,14800,546.12K,546.12K,NEW,0.11%
008474108,AEM,AGNICO EAGLE MINES LTD,3217,3217,545.38K,545.38K,NEW,0.11%
G8068L108,SN,SHARKNINJA INC,8961,4667,1M,522.24K,+108.7%,0.21%
143658300,CCL,CARNIVAL CORP,17053,17053,520.8K,520.8K,NEW,0.11%
46591M109,JOYY,JOYY INC,7730,7691,500.6K,498.07K,+19720.5%,0.1%
G4660A103,HSHP,HIMALAYA SHIPPING LTD,53407,53407,486K,486K,NEW,0.1%
44852D108,HUYA,HUYA INC,166796,166796,480.37K,480.37K,NEW,0.1%
V7780T103,RCL,ROYAL CARIBBEAN GROUP,1682,1682,469.14K,469.14K,NEW,0.1%
880770102,TER,TERADYNE INC,28360,2325,5.49M,450.03K,+8.9%,1.1%
G39387108,GFS,GLOBALFOUNDRIES INC,12588,12588,439.57K,439.57K,NEW,0.09%
874080104,TAL,TAL EDUCATION GROUP,74346,39004,811.12K,425.53K,+110.4%,0.17%
26701L100,BROS,DUTCH BROS INC,15716,6806,962.13K,416.66K,+76.4%,0.2%
192108504,CDE,COEUR MNG INC,22411,22411,399.59K,399.59K,NEW,0.08%
H8817H100,RIG,TRANSOCEAN LTD,121056,94672,499.96K,391K,+358.8%,0.1%
52736R102,LEVI,LEVI STRAUSS & CO NEW,18139,18139,376.2K,376.2K,NEW,0.08%
149123101,CAT,CATERPILLAR INC,609,609,348.88K,348.88K,NEW,0.07%
751212101,RL,RALPH LAUREN CORP,1062,969,375.53K,342.65K,+1041.9%,0.08%
09173B107,BITF,BITFARMS LTD,145018,145018,340.79K,340.79K,NEW,0.07%
466313103,JBL,JABIL INC,1446,1446,329.72K,329.72K,NEW,0.07%
01749D105,ALGM,ALLEGRO MICROSYSTEMS INC,12050,12050,317.88K,317.88K,NEW,0.07%
336433107,FSLR,FIRST SOLAR INC,1270,1069,331.76K,279.25K,+531.8%,0.07%
156431108,CENX,CENTURY ALUM CO,7032,7032,275.51K,275.51K,NEW,0.06%
364760108,GAP,GAP INC,9561,9561,244.76K,244.76K,NEW,0.05%
98850P109,YUMC,YUM CHINA HLDGS INC,5093,5093,243.14K,243.14K,NEW,0.05%
66981J102,MNSO,MINISO GROUP HLDG LTD,12951,12951,242.83K,242.83K,NEW,0.05%
550021109,LULU,LULULEMON ATHLETICA INC,1143,1143,237.53K,237.53K,NEW,0.05%
12738K109,CDLR,CADELER A S,12693,12693,235.96K,235.96K,NEW,0.05%
91912E105,VALE,VALE S A,18087,18087,235.67K,235.67K,NEW,0.05%
243537107,DECK,DECKERS OUTDOOR CORP,2204,2204,228.49K,228.49K,NEW,0.05%
98980A105,ZTO,ZTO EXPRESS CAYMAN INC,10863,10863,226.93K,226.93K,NEW,0.05%
11777Q209,BTG,B2GOLD CORP,50000,50000,225.5K,225.5K,NEW,0.05%
013872106,AA,ALCOA CORP,4158,4158,220.96K,220.96K,NEW,0.05%
47215P106,JD,JD.COM INC,7245,7245,207.93K,207.93K,NEW,0.04%
50202M102,LI,LI AUTO INC,11400,11400,193K,193K,NEW,0.04%
36165L108,GDS,GDS HLDGS LTD,109321,5147,3.82M,179.63K,+4.9%,0.79%
00246W103,AXTI,AXT INC,34067,10730,557K,175.44K,+46%,0.12%
244199105,DE,DEERE & CO,375,375,174.59K,174.59K,NEW,0.04%
