CUSIP,Ticker,Company,Shares,Delta_Shares,Value,Delta_Value,Delta,Portfolio%
61774R817,XAGG,MORGAN STANLEY ETF TRUST,35743,35743,1.83M,1.83M,NEW,0.81%
47103U712,JIII,JANUS DETROIT STR TR,29550,29550,1.5M,1.5M,NEW,0.66%
61774R833,EVLN,MORGAN STANLEY ETF TRUST,38711,29857,1.9M,1.46M,+337.2%,0.84%
04010L103,ARCC,ARES CAPITAL CORP,45948,45948,917.13K,917.13K,NEW,0.4%
64110L106,NFLX,NETFLIX INC,11255,10146,925.28K,834.11K,+914.9%,0.41%
023135106,AMZN,AMAZON COM INC,23765,3915,4.92M,810.24K,+19.7%,2.2%
47103U746,JSI,JANUS DETROIT STR TR,43356,14243,2.27M,746.62K,+48.9%,1%
110122108,BMY,BRISTOL-MYERS SQUIBB CO,19745,10463,1.2M,636.78K,+112.7%,0.53%
46138G870,VRP,INVESCO EXCH TRADED FD TR II,30000,21000,734.7K,514.29K,+233.3%,0.32%
922908363,VOO,VANGUARD INDEX FDS,9106,803,5.8M,511.07K,+9.7%,2.6%
47103U738,JEMB,JANUS DETROIT STR TR,9100,9100,494.36K,494.36K,NEW,0.22%
80004C200,SNDK,SANDISK CORP,909,909,492.35K,492.35K,NEW,0.22%
H1467J104,CB,CHUBB LIMITED,2936,1322,957.71K,431.23K,+81.9%,0.42%
35671D857,FCX,FREEPORT-MCMORAN INC,6776,6776,428.65K,428.65K,NEW,0.19%
958102105,WDC,WESTERN DIGITAL CORP,1625,1625,426.66K,426.66K,NEW,0.19%
87612E106,TGT,TARGET CORP,3744,3744,423.94K,423.94K,NEW,0.19%
15135B101,CNC,CENTENE CORP DEL,16774,10570,664.41K,418.67K,+170.4%,0.29%
037833100,AAPL,APPLE INC,34804,1521,9.53M,416.27K,+4.6%,4.2%
256677105,DG,DOLLAR GEN CORP NEW,2646,2646,386.98K,386.98K,NEW,0.17%
171779309,CIEN,CIENA CORP,1275,1275,380.84K,380.84K,NEW,0.17%
14021L109,CGDG,CAPITAL GROUP DIVIDEND GROWE,39629,9987,1.49M,375.41K,+33.7%,0.66%
281020107,EIX,EDISON INTL,10807,5630,707.44K,368.55K,+108.8%,0.31%
78462F103,SPY,SPDR S&P 500 ETF TR,2032,494,1.41M,341.87K,+32.1%,0.62%
