CUSIP,Ticker,Company,Shares,Delta_Shares,Value,Delta_Value,Delta,Portfolio%
50012A108,KGS,KODIAK GAS SVCS INC,1096000,676000,40.99M,25.28M,+161%,32.7%
13321L108,CCJ,CAMECO CORP,130000,130000,11.89M,11.89M,NEW,9.5%
969457100,WMB,WILLIAMS COS INC,328000,193000,19.72M,11.6M,+143%,15.7%
46578C108,IE,IVANHOE ELECTRIC INC,950025,450025,15.18M,7.19M,+90%,12.1%
65341B106,XIFR,XPLR INFRASTRUCTURE LP,2100000,600000,21M,6M,+40%,16.8%
00130H105,AES,AES CORP,300000,300000,4.3M,4.3M,NEW,3.4%
65342K105,NEXT,NEXTDECADE CORP,600000,600000,3.16M,3.16M,NEW,2.5%
21874A106,CORZ,CORE SCIENTIFIC INC NEW,0,-259000,0,-4.65M,CLOSE,0%
165167735,EXE,EXPAND ENERGY CORPORATION,0,-45200,0,-4.8M,CLOSE,0%
92537N108,VRT,VERTIV HOLDINGS CO,17500,-29650,2.84M,-4.8M,-62.9%,2.3%
78463V107,GLD,SPDR GOLD TR,0,-18750,0,-6.67M,CLOSE,0%
464288513,HYG,ISHARES TR,0,-100000,0,-8.12M,CLOSE,0%
21037T109,CEG,CONSTELLATION ENERGY CORP,4500,-23550,1.59M,-8.32M,-84%,1.3%
44812J104,HUT,HUT 8 CORP,18000,-182000,826.92K,-8.36M,-91%,0.66%
03676B102,AM,ANTERO MIDSTREAM CORP,0,-510000,0,-9.91M,CLOSE,0%
87422Q109,TLN,TALEN ENERGY CORP,10000,-30960,3.75M,-11.61M,-75.6%,3%
26884L109,EQT,EQT CORP,0,-465000,0,-25.31M,CLOSE,0%
92840M102,VST,VISTRA CORP,0,-142400,0,-27.9M,CLOSE,0%
Total,,,,,125.25M,-51.01M,-29.4%,100%
