CUSIP,Ticker,Company,Shares,Delta_Shares,Value,Delta_Value,Delta,Portfolio%
532457108,LLY,ELI LILLY & CO,7784,7784,8.36M,8.36M,NEW,5%
36828A101,GEV,GE VERNOVA INC,8175,8175,5.34M,5.34M,NEW,3.2%
464287440,IEF,ISHARES TR,74859,52568,7.2M,5.05M,+235.8%,4.3%
958102105,WDC,WESTERN DIGITAL CORP,24612,24612,4.24M,4.24M,NEW,2.5%
22788C105,CRWD,CROWDSTRIKE HLDGS INC,7737,7737,3.63M,3.63M,NEW,2.2%
88160R101,TSLA,TESLA INC,7971,7971,3.58M,3.58M,NEW,2.1%
37954Y848,SIL,GLOBAL X FDS,42670,42670,3.56M,3.56M,NEW,2.1%
922908736,VUG,VANGUARD INDEX FDS,7147,7147,3.49M,3.49M,NEW,2.1%
464287432,TLT,ISHARES TR,92652,29202,8.08M,2.55M,+46%,4.8%
594918104,MSFT,MICROSOFT CORP,4821,4821,2.33M,2.33M,NEW,1.4%
30303M102,META,META PLATFORMS INC,3513,3513,2.32M,2.32M,NEW,1.4%
29444U700,EQIX,EQUINIX INC,2505,2505,1.92M,1.92M,NEW,1.1%
75513E101,RTX,RTX CORPORATION,9296,9296,1.7M,1.7M,NEW,1%
539830109,LMT,LOCKHEED MARTIN CORP,3003,3003,1.45M,1.45M,NEW,0.87%
30231G102,XOM,EXXON MOBIL CORP,9743,9743,1.17M,1.17M,NEW,0.7%
69608A108,PLTR,PALANTIR TECHNOLOGIES INC,6415,6415,1.14M,1.14M,NEW,0.68%
72201R585,PYLD,PIMCO ETF TR,224861,42372,6M,1.13M,+23.2%,3.6%
007903107,AMD,ADVANCED MICRO DEVICES INC,4696,4696,1.01M,1.01M,NEW,0.6%
70931T103,PMT,PENNYMAC MTG INVT TR,72114,72114,905.03K,905.03K,NEW,0.54%
38141G104,GS,GOLDMAN SACHS GROUP INC,1005,1005,883.39K,883.39K,NEW,0.53%
71424F105,PR,PERMIAN RESOURCES CORP,163151,30691,2.29M,430.6K,+23.2%,1.4%
91529Y106,UNM,UNUM GROUP,5501,5501,426.33K,426.33K,NEW,0.26%
H5919C104,ONON,ON HLDG AG,9031,9031,419.76K,419.76K,NEW,0.25%
747525103,QCOM,QUALCOMM INC,2450,2450,419.07K,419.07K,NEW,0.25%
13321L108,CCJ,CAMECO CORP,4461,4461,408.14K,408.14K,NEW,0.24%
149123101,CAT,CATERPILLAR INC,712,712,407.76K,407.76K,NEW,0.24%
037833100,AAPL,APPLE INC,1396,1396,379.64K,379.64K,NEW,0.23%
032108409,DIVO,AMPLIFY ETF TR,8514,8514,378.88K,378.88K,NEW,0.23%
084670702,BRK.B,BERKSHIRE HATHAWAY INC DEL,739,739,371.46K,371.46K,NEW,0.22%
92189F676,SMH,VANECK ETF TRUST,1015,1015,365.45K,365.45K,NEW,0.22%
37954Y871,URA,GLOBAL X FDS,8158,8158,348.59K,348.59K,NEW,0.21%
33734X846,CIBR,FIRST TR EXCHANGE TRADED FD,4676,4676,334.08K,334.08K,NEW,0.2%
35671D857,FCX,FREEPORT-MCMORAN INC,6523,6523,331.28K,331.28K,NEW,0.2%
459200101,IBM,INTERNATIONAL BUSINESS MACHS,1041,1041,308.36K,308.36K,NEW,0.18%
68389X105,ORCL,ORACLE CORP,1570,1570,306.01K,306.01K,NEW,0.18%
369550108,GD,GENERAL DYNAMICS CORP,896,896,301.65K,301.65K,NEW,0.18%
45784P101,PODD,INSULET CORP,1017,1017,289.07K,289.07K,NEW,0.17%
931142103,WMT,WALMART INC,2516,2516,280.31K,280.31K,NEW,0.17%
00206R102,T,AT&T INC,105566,10850,2.62M,269.52K,+11.5%,1.6%
67066G104,NVDA,NVIDIA CORPORATION,32451,1445,6.05M,269.49K,+4.7%,3.6%
94106L109,WM,WASTE MGMT INC DEL,1200,1200,263.65K,263.65K,NEW,0.16%
609839105,MPWR,MONOLITHIC PWR SYS INC,271,271,245.62K,245.62K,NEW,0.15%
27828Y108,ETV,EATON VANCE TAX-MANAGED BUY-,183347,17033,2.63M,244.59K,+10.2%,1.6%
464287465,EFA,ISHARES TR,2455,2455,235.75K,235.75K,NEW,0.14%
78464A508,SPYV,SPDR SERIES TRUST,97766,4079,5.55M,231.73K,+4.4%,3.3%
427096508,HTGC,HERCULES CAPITAL INC,100621,12285,1.89M,231.2K,+13.9%,1.1%
883203101,TXT,TEXTRON INC,2624,2624,228.73K,228.73K,NEW,0.14%
84858T772,EUAD,SPINNAKER ETF SERIES,89600,5331,3.77M,224.6K,+6.3%,2.3%
G65431127,NE,NOBLE CORP PLC,52885,7789,1.49M,219.96K,+17.3%,0.89%
03761U502,MFIC,MIDCAP FINANCIAL INVSTMNT CO,103569,19194,1.18M,219.58K,+22.7%,0.71%
98389B100,XEL,XCEL ENERGY INC,2933,2933,216.63K,216.63K,NEW,0.13%
92343V104,VZ,VERIZON COMMUNICATIONS INC,5289,5289,215.42K,215.42K,NEW,0.13%
37045V100,GM,GENERAL MTRS CO,2609,2609,212.14K,212.14K,NEW,0.13%
949746101,WFC,WELLS FARGO CO NEW,2153,2153,200.64K,200.64K,NEW,0.12%
969457100,WMB,WILLIAMS COS INC,31667,3079,1.9M,185.08K,+10.8%,1.1%
896239100,TRMB,TRIMBLE INC,17296,2123,1.36M,166.34K,+14%,0.81%
81369Y308,XLP,SELECT SECTOR SPDR TR,27848,1946,2.16M,151.17K,+7.5%,1.3%
56035L104,MAIN,MAIN STR CAP CORP,30961,2358,1.87M,142.4K,+8.2%,1.1%
60255C885,DFTX,MIND MEDICINE MINDMED INC,10135,10135,135.71K,135.71K,NEW,0.08%
281020107,EIX,EDISON INTL,26990,2240,1.62M,134.44K,+9.1%,0.97%
37954Y483,QYLD,GLOBAL X FDS,90526,7513,1.6M,132.75K,+9.1%,0.96%
02209S103,MO,ALTRIA GROUP INC,28396,2267,1.64M,130.72K,+8.7%,0.98%
37954Y293,MLPX,GLOBAL X FDS,31275,2139,1.89M,129.47K,+7.3%,1.1%
874039100,TSM,TAIWAN SEMICONDUCTOR MFG LTD,11280,400,3.43M,121.56K,+3.7%,2.1%
035710839,NLY,ANNALY CAPITAL MANAGEMENT IN,73866,4927,1.65M,110.17K,+7.1%,0.99%
055622104,BP,BP PLC,61957,3135,2.15M,108.88K,+5.3%,1.3%
63010H108,NNE,NANO NUCLEAR ENERGY INC,73046,4160,1.75M,99.88K,+6%,1.1%
97717W315,DEM,WISDOMTREE TR,25457,2037,1.19M,95.15K,+8.7%,0.71%
767204100,RIO,RIO TINTO PLC,26137,1087,2.09M,86.99K,+4.3%,1.3%
24664T103,DKL,DELEK LOGISTICS PARTNERS LP,39443,1575,1.76M,70.28K,+4.2%,1.1%
293828877,XOVR,ENTREPRENEURSHARES SERIES TR,13555,1305,273K,26.28K,+10.7%,0.16%
74640Y106,PRPL,PURPLE INNOVATION INC,28835,28835,19.91K,19.91K,NEW,0.01%
02072L557,FTWO,EA SERIES TRUST,14968,-142,608.3K,-5.77K,-0.9%,0.36%
11135F101,AVGO,BROADCOM INC,16485,-110,5.71M,-38.07K,-0.7%,3.4%
464288760,ITA,ISHARES TR,15211,-526,3.27M,-112.93K,-3.3%,2%
023135106,AMZN,AMAZON COM INC,18616,-1419,4.3M,-327.53K,-7.1%,2.6%
502431109,LHX,L3HARRIS TECHNOLOGIES INC,11744,-1612,3.45M,-473.23K,-12.1%,2.1%
