CUSIP,Ticker,Company,Shares,Delta_Shares,Value,Delta_Value,Delta,Portfolio%
093712107,BE,BLOOM ENERGY CORP,10076022,10076022,875.51M,875.51M,NEW,22.4%
55024U109,LITE,LUMENTUM HLDGS INC,1298400,1298400,478.58M,478.58M,NEW,12.2%
80004C200,SNDK,SANDISK CORP,1054200,939200,250.25M,222.95M,+816.7%,6.4%
17253J106,CIFR,CIPHER MINING INC,10469093,10469093,154.52M,154.52M,NEW,3.9%
21873S108,CRWV,COREWEAVE INC,6098812,1983356,436.74M,142.03M,+48.2%,11.2%
038169207,APLD,APPLIED DIGITAL CORP,11339060,5274905,278.03M,129.34M,+87%,7.1%
21874A106,CORZ,CORE SCIENTIFIC INC NEW,28756478,8575944,418.69M,124.87M,+42.5%,10.7%
26884L109,EQT,EQT CORP,2482225,1264839,133.05M,67.8M,+103.9%,3.4%
19247G107,COHR,COHERENT CORP,480300,325900,88.65M,60.15M,+211.1%,2.3%
Q4982L109,IREN,IREN LIMITED,8700621,1480200,328.62M,55.91M,+20.5%,8.4%
49427F108,KRC,KILROY RLTY CORP,1327700,1327700,49.62M,49.62M,NEW,1.3%
83418M103,SEI,SOLARIS ENERGY INFRAS INC,1866500,716200,85.8M,32.92M,+62.3%,2.2%
767292105,RIOT,RIOT PLATFORMS INC,6167700,2575001,78.14M,32.63M,+71.7%,2%
M87915274,TSEM,TOWER SEMICONDUCTOR LTD,723004,252404,84.9M,29.64M,+53.6%,2.2%
G96115103,WYFI,WHITEFIBER INC,1757600,1757600,27.77M,27.77M,NEW,0.71%
73933G202,PSIX,POWER SOLUTIONS INTL INC,432300,432300,24.7M,24.7M,NEW,0.63%
18452B209,CLSK,CLEANSPARK INC,1640400,1640400,16.6M,16.6M,NEW,0.42%
09173B107,BITF,BITFARMS LTD,6897100,6897100,16.21M,16.21M,NEW,0.41%
44812J104,HUT,HUT 8 CORP,860200,261200,39.52M,12M,+43.6%,1%
53115L104,LBRT,LIBERTY ENERGY INC,567200,567200,10.47M,10.47M,NEW,0.27%
G11448100,BTDR,BITDEER TECHNOLOGIES GROUP,1788000,858400,20.04M,9.62M,+92.3%,0.51%
74347M108,PUMP,PROPETRO HLDG CORP,910300,910300,8.66M,8.66M,NEW,0.22%
05614L209,BW,BABCOCK & WILCOX ENTERPRISES,1353900,1353900,8.58M,8.58M,NEW,0.22%
458140100,INTC,INTEL CORP,1,1,37,37,NEW,<.01%
G7997R103,STX,SEAGATE TECHNOLOGY HLDNGS PL,0,-48567,0,-11.46M,CLOSE,0%
958102AT2,WDC,WESTERN DIGITAL CORP,0,-152821,0,-18.35M,CLOSE,0%
093712AH0,BE,BLOOM ENERGY CORP,0,-3048002,0,-43.89M,CLOSE,0%
55024UAD1,LITE,LUMENTUM HLDGS INC,0,-417600,0,-67.95M,CLOSE,0%
17253JAA4,CIFR,CIPHER MINING INC,0,-5740493,0,-72.27M,CLOSE,0%
36317J209,GLXY,GALAXY DIGITAL INC.,0,-2737500,0,-92.55M,CLOSE,0%
92840M102,VST,VISTRA CORP,0,-1287910,0,-252.33M,CLOSE,0%
Total,,,,,3.91B,2.03B,+90.6%,100%
