CUSIP,Ticker,Company,Shares,Delta_Shares,Value,Delta_Value,Delta,Portfolio%
25809K105,DASH,DOORDASH INC,479659,479659,108.63M,108.63M,NEW,6.3%
871607107,SNPS,SYNOPSYS INC,217060,217060,101.96M,101.96M,NEW,5.9%
67066G104,NVDA,NVIDIA CORPORATION,309087,309087,57.64M,57.64M,NEW,3.4%
20717M103,CFLT,CONFLUENT INC,3941355,1774412,119.19M,53.66M,+81.9%,7%
98954M200,Z,ZILLOW GROUP INC,1788044,319552,121.98M,21.8M,+21.8%,7.1%
771049103,RBLX,ROBLOX CORP,1879906,184978,152.33M,14.99M,+10.9%,8.9%
874039100,TSM,TAIWAN SEMICONDUCTOR MFG LTD,386132,38799,117.34M,11.79M,+11.2%,6.8%
79589L106,IOT,SAMSARA INC,1681389,267381,59.61M,9.48M,+18.9%,3.5%
N14506104,ESTC,ELASTIC N V,1386473,62339,104.6M,4.7M,+4.7%,6.1%
922280102,VRNS,VARONIS SYS INC,2255117,102498,73.97M,3.36M,+4.8%,4.3%
30303M102,META,META PLATFORMS INC,169631,-9302,111.97M,-6.14M,-5.2%,6.5%
007903107,AMD,ADVANCED MICRO DEVICES INC,520358,-57447,111.44M,-12.3M,-9.9%,6.5%
90353T100,UBER,UBER TECHNOLOGIES INC,1978333,-209092,161.65M,-17.08M,-9.6%,9.4%
76954A103,RIVN,RIVIAN AUTOMOTIVE INC,8193373,-1011372,161.49M,-19.93M,-11%,9.4%
23804L103,DDOG,DATADOG INC,0,-317447,0,-45.2M,CLOSE,0%
82509L107,SHOP,SHOPIFY INC,0,-305710,0,-45.43M,CLOSE,0%
874054109,TTWO,TAKE-TWO INTERACTIVE SOFTWAR,227644,-180158,58.28M,-46.13M,-44.2%,3.4%
023135106,AMZN,AMAZON COM INC,398599,-233323,92M,-53.86M,-36.9%,5.4%
146869102,CVNA,CARVANA CO,0,-177786,0,-67.07M,CLOSE,0%
679295105,OKTA,OKTA INC,0,-982709,0,-90.11M,CLOSE,0%
M98068105,WIX,WIX COM LTD,0,-842614,0,-149.67M,CLOSE,0%
Total,,,,,1.71B,-164.92M,-8.3%,100%
