CUSIP,Ticker,Company,Shares,Delta_Shares,Value,Delta_Value,Delta,Portfolio%
02079K305,GOOGL,ALPHABET INC,281589,281589,88.14M,88.14M,NEW,6.8%
G3323L100,FN,FABRINET,112957,112957,51.43M,51.43M,NEW,3.9%
55024U109,LITE,LUMENTUM HLDGS INC,135163,135163,49.82M,49.82M,NEW,3.8%
82982T106,SITM,SITIME CORP,90108,90108,31.83M,31.83M,NEW,2.4%
N14506104,ESTC,ELASTIC N V,394225,394225,29.74M,29.74M,NEW,2.3%
00971T101,AKAM,AKAMAI TECHNOLOGIES INC,337908,337908,29.48M,29.48M,NEW,2.3%
40131M109,GH,GUARDANT HEALTH INC,281589,281589,28.76M,28.76M,NEW,2.2%
031652100,AMKR,AMKOR TECHNOLOGY INC,337908,337908,13.34M,13.34M,NEW,1%
67066G104,NVDA,NVIDIA CORPORATION,790697,63588,147.46M,11.86M,+8.7%,11.3%
950915108,WRD,WERIDE INC,1358902,1358902,11.8M,11.8M,NEW,0.9%
92537N108,VRT,VERTIV HOLDINGS CO,395347,72187,64.05M,11.7M,+22.3%,4.9%
023135106,AMZN,AMAZON COM INC,1016611,6737,234.65M,1.56M,+0.7%,18%
57636Q104,MA,MASTERCARD INCORPORATED,225912,-16458,128.97M,-9.4M,-6.8%,9.9%
60937P106,MDB,MONGODB INC,101372,-60207,42.54M,-25.27M,-37.3%,3.3%
146869102,CVNA,CARVANA CO,225272,-81729,95.07M,-34.49M,-26.6%,7.3%
30303M102,META,META PLATFORMS INC,291469,-64006,192.4M,-42.25M,-18%,14.7%
L8681T102,SPOT,SPOTIFY TECHNOLOGY S A,113242,-96811,65.76M,-56.22M,-46.1%,5%
64110L106,NFLX,NETFLIX INC,0,-201975,0,-242.15M,CLOSE,0%
Total,,,,,1.31B,-50.34M,-3.7%,100%
