CUSIP,Ticker,Company,Shares,Delta_Shares,Value,Delta_Value,Delta,Portfolio%
857477103,STT,STATE STR CORP,262094,179878,33.81M,23.21M,+218.8%,4.9%
911363109,URI,UNITED RENTALS INC,26964,26964,21.82M,21.82M,NEW,3.2%
595112103,MU,MICRON TECHNOLOGY INC,72852,72852,20.79M,20.79M,NEW,3%
025816109,AXP,AMERICAN EXPRESS CO,80463,52679,29.77M,19.49M,+189.6%,4.3%
172967424,C,CITIGROUP INC,152640,152640,17.81M,17.81M,NEW,2.6%
19247G107,COHR,COHERENT CORP,83171,83171,15.35M,15.35M,NEW,2.2%
67066G104,NVDA,NVIDIA CORPORATION,168785,78310,31.48M,14.6M,+86.6%,4.6%
150870103,CE,CELANESE CORP DEL,331276,331276,14.01M,14.01M,NEW,2%
044186104,ASH,ASHLAND INC,176276,176276,10.34M,10.34M,NEW,1.5%
G51502105,JCI,JOHNSON CTLS INTL PLC,66704,66704,7.99M,7.99M,NEW,1.2%
112463104,BKD,BROOKDALE SR LIVING INC,531255,531255,5.73M,5.73M,NEW,0.83%
80004C200,SNDK,SANDISK CORP,22636,22636,5.37M,5.37M,NEW,0.78%
92276F100,VTR,VENTAS INC,61830,61830,4.78M,4.78M,NEW,0.7%
95040Q104,WELL,WELLTOWER INC,25195,25195,4.68M,4.68M,NEW,0.68%
30303M102,META,META PLATFORMS INC,33767,6305,22.29M,4.16M,+23%,3.2%
398182303,AHR,AMERICAN HEALTHCARE REIT INC,85883,85883,4.04M,4.04M,NEW,0.59%
874039100,TSM,TAIWAN SEMICONDUCTOR MFG LTD,76789,11662,23.34M,3.54M,+17.9%,3.4%
04010E109,AGX,ARGAN INC,51794,10411,16.23M,3.26M,+25.2%,2.4%
92826C839,V,VISA INC,51568,6079,18.09M,2.13M,+13.4%,2.6%
57636Q104,MA,MASTERCARD INCORPORATED,38155,3732,21.78M,2.13M,+10.8%,3.2%
594918104,MSFT,MICROSOFT CORP,45217,4374,21.87M,2.12M,+10.7%,3.2%
032095101,APH,AMPHENOL CORP NEW,152712,12506,20.64M,1.69M,+8.9%,3%
03831W108,APP,APPLOVIN CORP,18727,2025,12.62M,1.36M,+12.1%,1.8%
023135106,AMZN,AMAZON COM INC,38810,5094,8.96M,1.18M,+15.1%,1.3%
36828A101,GEV,GE VERNOVA INC,54439,0,35.58M,0,NO CHANGE,5.2%
92537N108,VRT,VERTIV HOLDINGS CO,178980,0,29M,0,NO CHANGE,4.2%
369604301,GE,GE AEROSPACE,62061,0,19.12M,0,NO CHANGE,2.8%
037833100,AAPL,APPLE INC,61806,0,16.8M,0,NO CHANGE,2.4%
L8681T102,SPOT,SPOTIFY TECHNOLOGY S A,27881,0,16.19M,0,NO CHANGE,2.4%
29977A105,EVR,EVERCORE INC,46881,0,15.95M,0,NO CHANGE,2.3%
02079K305,GOOGL,ALPHABET INC,40702,0,12.74M,0,NO CHANGE,1.9%
74164F103,PRIM,PRIMORIS SVCS CORP,100005,0,12.41M,0,NO CHANGE,1.8%
199908104,FIX,COMFORT SYS USA INC,9273,0,8.65M,0,NO CHANGE,1.3%
883556102,TMO,THERMO FISHER SCIENTIFIC INC,13202,0,7.65M,0,NO CHANGE,1.1%
67000B104,NOVT,NOVANTA INC,53301,0,6.34M,0,NO CHANGE,0.92%
15101Q207,CLS,CELESTICA INC,19655,0,5.81M,0,NO CHANGE,0.84%
16679L109,CHWY,CHEWY INC,141813,0,4.69M,0,NO CHANGE,0.68%
04302A104,AIP,ARTERIS INC,293973,0,4.56M,0,NO CHANGE,0.66%
03214Q108,AMPX,AMPRIUS TECHNOLOGIES INC,526832,0,4.16M,0,NO CHANGE,0.6%
125141101,CECO,CECO ENVIRONMENTAL CORP,69403,0,4.15M,0,NO CHANGE,0.6%
219350105,GLW,CORNING INC,0,-8888,0,-729.08K,CLOSE,0%
79466L302,CRM,SALESFORCE INC,27755,-4940,7.35M,-1.31M,-15.1%,1.1%
645827205,IDR,IDAHO STRATEGIC RESOURCES,91929,-35703,3.7M,-1.44M,-28%,0.54%
77311W101,RKT,ROCKET COS INC,938659,-167344,18.17M,-3.24M,-15.1%,2.6%
74767V109,QS,QUANTUMSCAPE CORP,369686,-317020,3.85M,-3.3M,-46.2%,0.56%
68236H204,ONDS,ONDAS HLDGS INC,1596709,-366548,15.58M,-3.58M,-18.7%,2.3%
N97284108,NBIS,NEBIUS GROUP N.V.,0,-33087,0,-3.71M,CLOSE,0%
05759B115,BKKT,BAKKT HOLDINGS INC,0,-115577,0,-3.89M,CLOSE,0%
05614L209,BW,BABCOCK & WILCOX ENTERPRISES,0,-1390658,0,-4.03M,CLOSE,0%
M7S64L123,PGY,PAGAYA TECHNOLOGIES LTD,0,-137778,0,-4.09M,CLOSE,0%
90353T100,UBER,UBER TECHNOLOGIES INC,105224,-52746,8.6M,-4.31M,-33.4%,1.3%
68389X105,ORCL,ORACLE CORP,0,-16340,0,-4.6M,CLOSE,0%
29084Q100,EME,EMCOR GROUP INC,0,-7791,0,-5.06M,CLOSE,0%
36317J209,GLXY,GALAXY DIGITAL INC.,0,-170358,0,-5.76M,CLOSE,0%
