CUSIP,Ticker,Company,Shares,Delta_Shares,Value,Delta_Value,Delta,Portfolio%
464287309,IVW,ISHARES TR,24070,24058,2.97M,2.97M,+200483.3%,3.8%
64110L106,NFLX,NETFLIX INC,6770,6082,634.75K,570.25K,+884%,0.8%
92892B103,VOYG,VOYAGER TECHNOLOGIES INC,27420,20570,716.76K,537.7K,+300.3%,0.91%
46137V357,RSP,INVESCO EXCHANGE TRADED FD T,10822,1720,2.07M,329.48K,+18.9%,2.6%
457642205,INOD,INNODATA INC,5125,5125,261.12K,261.12K,NEW,0.33%
69374H659,HERD,PACER FDS TR,5175,5175,243.92K,243.92K,NEW,0.31%
459200101,IBM,INTERNATIONAL BUSINESS MACHS,3325,721,984.9K,213.57K,+27.7%,1.2%
02079K305,GOOGL,ALPHABET INC,3818,603,1.2M,188.74K,+18.8%,1.5%
81369Y506,XLE,SELECT SECTOR SPDR TR,5190,2595,232.04K,116.02K,+100%,0.29%
595112103,MU,MICRON TECHNOLOGY INC,2737,320,781.17K,91.33K,+13.2%,0.99%
48251W104,KKR,KKR & CO INC,2430,685,274.5K,77.38K,+39.3%,0.35%
N97284108,NBIS,NEBIUS GROUP N.V.,2205,800,184.57K,66.96K,+56.9%,0.23%
947913109,IVES,WEDBUSH SER TR,2100,2100,66.38K,66.38K,NEW,0.08%
46625H100,JPM,JPMORGAN CHASE & CO.,4321,194,1.39M,62.51K,+4.7%,1.8%
21873S108,CRWV,COREWEAVE INC,2700,850,193.35K,60.87K,+45.9%,0.24%
36828A101,GEV,GE VERNOVA INC,335,92,218.95K,60.13K,+37.9%,0.28%
577128101,MATW,MATTHEWS INTL CORP,2820,1900,73.24K,49.34K,+206.5%,0.09%
72346Q104,PNFP,PINNACLE FINL PARTNERS INC,454,454,43.2K,43.2K,NEW,0.05%
20825C104,COP,CONOCOPHILLIPS,2099,431,196.49K,40.35K,+25.8%,0.25%
92826C839,V,VISA INC,506,115,177.46K,40.33K,+29.4%,0.22%
46438F101,IBIT,ISHARES BITCOIN TRUST ETF,800,800,39.72K,39.72K,NEW,0.05%
068463108,BBSI,BARRETT BUSINESS SVCS INC,1920,1160,60.15K,36.34K,+152.6%,0.08%
G9087Q902,TROX,TRONOX HOLDINGS PLC,3995,3995,32.61K,32.61K,NEW,0.04%
87615L107,TH,TARGET HOSPITALITY CORP,11630,4460,84.08K,32.25K,+62.2%,0.11%
337738108,FISV,FISERV INC,395,395,26.53K,26.53K,NEW,0.03%
74874Q100,QNST,QUINSTREET INC,9290,2420,99.27K,25.86K,+35.2%,0.13%
369604301,GE,GE AEROSPACE,66,66,20.33K,20.33K,NEW,0.03%
21037T109,CEG,CONSTELLATION ENERGY CORP,410,56,144.84K,19.78K,+15.8%,0.18%
92840M102,VST,VISTRA CORP,2229,100,359.61K,16.13K,+4.7%,0.46%
620071100,MPAA,MOTORCAR PTS AMER INC,1670,1670,16.03K,16.03K,NEW,0.02%
46222L108,IONQ,IONQ INC,350,350,15.71K,15.71K,NEW,0.02%
38141G104,GS,GOLDMAN SACHS GROUP INC,540,15,474.66K,13.19K,+2.9%,0.6%
M78673114,PERI,PERION NETWORK LTD,113520,103790,13.2K,12.07K,+1066.7%,0.02%
67079K100,SMR,NUSCALE PWR CORP,850,650,12.04K,9.21K,+325%,0.02%
73931J109,AIOT,POWERFLEET INC,21070,2125,77.64K,7.83K,+11.2%,0.1%
511795106,LAKE,LAKELAND INDS INC,3830,690,38.11K,6.87K,+22%,0.05%
066849100,BHB,BAR HBR BANKSHARES,190,190,6.54K,6.53K,NEW,<.01%
172967424,C,CITIGROUP INC,2250,50,262.55K,5.83K,+2.3%,0.33%
666807102,NOC,NORTHROP GRUMMAN CORP,135,10,76.98K,5.7K,+8%,0.1%
98980G102,ZS,ZSCALER INC,675,25,151.82K,5.62K,+3.8%,0.19%
654484609,NB,NIOCORP DEVS LTD,800,800,4.24K,4.24K,NEW,<.01%
15643U104,LEU,CENTRUS ENERGY CORP,15,15,3.64K,3.64K,NEW,<.01%
02156V109,OKLO,OKLO INC,50,50,3.59K,3.59K,NEW,<.01%
04649U102,ASUR,ASURE SOFTWARE INC,9480,400,68.16K,2.88K,+4.4%,0.09%
40412C101,HCA,HCA HEALTHCARE INC,455,5,212.42K,2.33K,+1.1%,0.27%
G71115102,RCT,REDCLOUD HLDGS PLC,1500,1500,2.23K,2.23K,NEW,<.01%
46428Q109,SLV,ISHARES SILVER TR,30,30,1.93K,1.93K,NEW,<.01%
723561106,PBFS,PIONEER BANCORP INC MD,25012,23322,1.69K,1.58K,+1380%,<.01%
500255104,KSS,KOHLS CORP,71,71,1.45K,1.45K,NEW,<.01%
138035704,CGC,CANOPY GROWTH CORP,900,900,1.03K,1.03K,NEW,<.01%
63010H108,NNE,NANO NUCLEAR ENERGY INC,1140,30,27.37K,720.29,+2.7%,0.03%
N5505D105,MICC,MAGNUM ICE CREAM CO NV,25,25,396,396,NEW,<.01%
69374H857,CALF,PACER FDS TR,12086,7,536.26K,310.59,+0.1%,0.68%
025816109,AXP,AMERICAN EXPRESS CO,1955,0,723.25K,0,NO CHANGE,0.92%
37733W204,GSK,GSK PLC,11642,0,570.92K,0,NO CHANGE,0.72%
92204A603,VIS,VANGUARD WORLD FD,1398,0,417.13K,0,NO CHANGE,0.53%
24661P807,DCTH,DELCATH SYS INC,36825,0,371.93K,0,NO CHANGE,0.47%
921946406,VYM,VANGUARD WHITEHALL FDS,1930,0,276.99K,0,NO CHANGE,0.35%
