CUSIP,Ticker,Company,Shares,Delta_Shares,Value,Delta_Value,Delta,Portfolio%
46641Q332,JEPI,J P MORGAN EXCHANGE TRADED F,19520,19520,1.14M,1.14M,NEW,0.66%
46431W507,NEAR,ISHARES U S ETF TR,10373,10373,529.96K,529.96K,NEW,0.31%
921937835,BND,VANGUARD BD INDEX FDS,52946,5573,3.91M,411.84K,+11.8%,2.3%
78463X889,SPDW,SPDR INDEX SHS FDS,122811,7979,5.83M,378.6K,+6.9%,3.4%
46434G103,IEMG,ISHARES INC,29806,4715,2.15M,340.85K,+18.8%,1.2%
78463X509,SPEM,SPDR INDEX SHS FDS,21186,6065,1.04M,297.91K,+40.1%,0.6%
09290C806,THRO,BLACKROCK ETF TRUST,7453,7453,284.93K,284.93K,NEW,0.16%
464287408,IVE,ISHARES TR,10677,1278,2.36M,282.46K,+13.6%,1.4%
09290C780,BAI,BLACKROCK ETF TRUST,7829,7829,255.54K,255.54K,NEW,0.15%
464285204,IAU,ISHARES GOLD TR,2626,2626,244.01K,244.01K,NEW,0.14%
09290C103,DYNF,BLACKROCK ETF TRUST,46391,3605,2.82M,219.51K,+8.4%,1.6%
844741108,LUV,SOUTHWEST AIRLS CO,4075,4075,214.31K,214.31K,NEW,0.12%
46435G672,IAGG,ISHARES TR,4204,4204,210.79K,210.79K,NEW,0.12%
464287101,OEF,ISHARES TR,1113,509,378.66K,173.17K,+84.3%,0.22%
46434V613,IUSB,ISHARES TR,156663,3440,7.28M,159.79K,+2.2%,4.2%
46432F339,QUAL,ISHARES TR,13525,782,2.73M,157.67K,+6.1%,1.6%
921937827,BSV,VANGUARD BD INDEX FDS,41384,1901,3.25M,149.51K,+4.8%,1.9%
46429B267,GOVT,ISHARES TR,70049,6430,1.61M,147.47K,+10.1%,0.93%
092528603,BINC,BLACKROCK ETF TRUST II,13894,2525,734.45K,133.47K,+22.2%,0.42%
464288588,MBB,ISHARES TR,28954,1339,2.76M,127.47K,+4.8%,1.6%
46641Q159,JPIE,J P MORGAN EXCHANGE TRADED F,11248,2638,521.12K,122.22K,+30.6%,0.3%
464288653,TLH,ISHARES TR,5670,903,572.46K,91.17K,+18.9%,0.33%
46432F396,MTUM,ISHARES TR,4894,321,1.21M,79.3K,+7%,0.7%
464287309,IVW,ISHARES TR,25844,658,3.1M,79.01K,+2.6%,1.8%
464288620,USIG,ISHARES TR,12516,1177,647.08K,60.85K,+10.4%,0.37%
464288281,EMB,ISHARES TR,5280,221,507.92K,21.26K,+4.4%,0.29%
464287226,AGG,ISHARES TR,11414,137,1.14M,13.65K,+1.2%,0.66%
464288448,IDV,ISHARES TR,25451,267,1.09M,11.45K,+1.1%,0.63%
92204A405,VFH,VANGUARD WORLD FD,7764,38,1.03M,5.03K,+0.5%,0.59%
032797300,AVXL,ANAVEX LIFE SCIENCES CORP,18045,1053,74.53K,4.35K,+6.2%,0.04%
808524201,SCHX,SCHWAB STRATEGIC TR,8252,24,223.06K,648.75,+0.3%,0.13%
37954Y236,DTCR,GLOBAL X FDS,25877,0,618.97K,0,NO CHANGE,0.36%
922020755,VPLS,VANGUARD MALVERN FDS,4988,0,389.44K,0,NO CHANGE,0.22%
46138E339,SPMO,INVESCO EXCH TRADED FD TR II,2933,0,343.25K,0,NO CHANGE,0.2%
25434V401,DFUS,DIMENSIONAL ETF TRUST,4122,0,308.2K,0,NO CHANGE,0.18%
921946794,VYMI,VANGUARD WHITEHALL FDS,2886,0,281.3K,0,NO CHANGE,0.16%
025072703,AVDE,AMERICAN CENTY ETF TR,3021,0,266.88K,0,NO CHANGE,0.15%
922908751,VB,VANGUARD INDEX FDS,862,0,234.61K,0,NO CHANGE,0.14%
17275R102,CSCO,CISCO SYS INC,2944,-88,238.97K,-7.14K,-2.9%,0.14%
46120E602,ISRG,INTUITIVE SURGICAL INC,903,-25,432.08K,-11.96K,-2.7%,0.25%
00287Y109,ABBV,ABBVIE INC,1623,-70,352.3K,-15.19K,-4.1%,0.2%
78464A508,SPYV,SPDR SERIES TRUST,50689,-314,3M,-18.59K,-0.6%,1.7%
